gogus.tip 86400 IN CNAME homepage
ekk 86400 IN CNAME homepage
cevretasarimkongresi2013 86400 IN CNAME homepage
kg 86400 IN A 193.140.245.94
uu245-13 86400 IN A 193.140.245.13
arch 86400 IN CNAME homepage
bidb 86400 IN CNAME homepage
cocukpsikiyatrisi 86400 IN CNAME homepage
ks 86400 IN A 194.27.120.21
fef 86400 IN CNAME homepage
ysehirmyo1 86400 IN CNAME homepage
isletme 86400 IN CNAME homepage
emr 86400 IN CNAME homepage
konservatuvar 86400 IN CNAME homepage
emt 86400 IN CNAME homepage
spor-hekimligi 86400 IN CNAME homepage
uu245-15 86400 IN A 193.140.245.15
uu245-16 86400 IN A 193.140.245.16
mm 86400 IN CNAME homepage
owmx 86400 IN A 193.140.245.222
uu245-19 86400 IN A 193.140.245.19
mmfwww 86400 IN CNAME homepage
uu245-22 86400 IN A 193.140.245.22
egitim 86400 IN CNAME homepage
uu245-24 86400 IN A 193.140.245.24
uu245-14 86400 IN A 193.140.245.14
uu245-26 86400 IN A 193.140.245.26
uu245-27 86400 IN A 193.140.245.27
uu245-28 86400 IN A 193.140.245.28
uu245-29 86400 IN A 193.140.245.29
uu245-31 86400 IN A 193.140.245.31
arge 86400 IN CNAME homepage
destech 86400 IN CNAME homepage
ns 86400 IN CNAME ns1
uu245-35 86400 IN A 193.140.245.35
uu245-11 86400 IN A 193.140.245.11
ldapadmin 86400 IN A 193.140.245.23
paris7 86400 IN CNAME homepage
uu245-39 86400 IN A 193.140.245.39
uu245-41 86400 IN A 193.140.245.41
dys 86400 IN A 172.20.1.40
uu245-43 86400 IN A 193.140.245.43
uu245-44 86400 IN A 193.140.245.44
uu245-45 86400 IN A 193.140.245.45
uu245-46 86400 IN A 193.140.245.46
goz-hast 86400 IN CNAME homepage
uu245-48 86400 IN A 193.140.245.48
donersermaye 86400 IN CNAME homepage
uu245-51 86400 IN A 193.140.245.51
uu245-52 86400 IN A 193.140.245.52
uu245-53 86400 IN A 193.140.245.53
uu245-54 86400 IN A 193.140.245.54
uu245-55 86400 IN A 193.140.245.55
preference 86400 IN A 194.27.120.21
uu245-57 86400 IN A 193.140.245.57
uu245-58 86400 IN A 193.140.245.58
uu245-59 86400 IN A 193.140.245.59
kromatografi2013 86400 IN CNAME homepage
gba 86400 IN CNAME homepage
uu245-63 86400 IN A 193.140.245.63
uu245-64 86400 IN A 193.140.245.64
uu245-65 86400 IN A 193.140.245.65
uu245-66 86400 IN A 193.140.245.66
uu245-67 86400 IN A 193.140.245.67
uu245-68 86400 IN A 193.140.245.68
uu245-69 86400 IN A 193.140.245.69
uu245-71 86400 IN A 193.140.245.71
deontoloji 86400 IN CNAME homepage
est 86400 IN CNAME homepage
uu245-74 86400 IN A 193.140.245.74
fkm 86400 IN CNAME homepage
kutuphane 86400 IN A 193.140.245.211
uu245-77 86400 IN A 193.140.245.77
sporbilimleri 86400 IN A 193.140.245.9
