@ 86400 IN SOA fhudns postmaster 2015040601 10800 3600 604800 86400
@ 86400 IN MX 10 fhumail-bar
@ 86400 IN NS fhudns
sw02f5 86400 IN A 202.249.232.118
sw02f6 86400 IN A 202.249.232.119
tr4205 86400 IN A 202.249.233.96
pc2601 86400 IN A 202.249.232.1
pc5410.ircad3 86400 IN A 202.249.234.140
pc5446.ircad3 86400 IN A 202.249.234.176
pc5112.ircad2 86400 IN A 202.249.232.142
pc5444.ircad3 86400 IN A 202.249.234.174
pc2501 86400 IN A 202.249.232.17
pc2502 86400 IN A 202.249.232.18
pc2503 86400 IN A 202.249.232.19
mi 86400 IN A 202.249.233.3
mi 86400 IN MX 10 st.mi
pc5109.ircad2 86400 IN A 202.249.232.139
fhumisv.mi 86400 IN A 202.249.232.120
pc2507 86400 IN A 202.249.232.23
sfsv 86400 IN A 202.249.232.80
pc2509 86400 IN A 202.249.232.24
pc2511 86400 IN A 202.249.232.26
pc2512 86400 IN A 202.249.232.27
pc2513 86400 IN A 202.249.232.28
pc2514 86400 IN A 202.249.232.29
pc2515 86400 IN A 202.249.232.30
pc2516 86400 IN A 202.249.232.31
pc2517 86400 IN A 202.249.232.32
pc5442.ircad3 86400 IN A 202.249.234.172
pc5434.ircad3 86400 IN A 202.249.234.164
at2605 86400 IN A 202.249.232.85
pc5107.ircad2 86400 IN A 202.249.232.137
pc12101 86400 IN A 202.249.233.181
pc5439.ircad3 86400 IN A 202.249.234.169
cloud 86400 IN A 202.249.233.12
pc5353.ircad3 86400 IN A 202.249.234.53
pc5105.ircad2 86400 IN A 202.249.232.135
fhu-sir220 86400 IN A 202.249.233.21
kcsv 86400 IN A 202.249.233.14
kcsv 86400 IN MX 10 kcsv
pc5437.ircad3 86400 IN A 202.249.234.167
pc2602 86400 IN A 202.249.232.2
pc2603 86400 IN A 202.249.232.3
pc2604 86400 IN A 202.249.232.4
pc2605 86400 IN A 202.249.232.5
pr5103.ircad2 86400 IN A 202.249.232.223
pc2607 86400 IN A 202.249.232.7
pc2610 86400 IN A 202.249.232.8
pc2611 86400 IN A 202.249.232.9
pc2612 86400 IN A 202.249.232.10
pc5351.ircad3 86400 IN A 202.249.234.51
pc2614 86400 IN A 202.249.232.12
pc5103.ircad2 86400 IN A 202.249.232.133
pc2616 86400 IN A 202.249.232.14
