@ 43200 IN SOA ns1 hostmaster 4120150410 28800 7200 604800 86400
@ 43200 IN MX 10 iron2
43200 IN MX 20 iron1
@ 43200 IN NS ns
43200 IN NS ns1
43200 IN NS sun.uakom.sk.
43200 IN NS decsys.vsb.cz.
c141.eduroam 43200 IN A 192.108.133.141
m167.rekt 43200 IN A 194.160.39.167
m170.rekt 43200 IN A 194.160.39.170
virt 43200 IN A 194.160.45.226
m191.rekt 43200 IN A 194.160.39.191
c209.eduroam 43200 IN A 192.108.133.209
m160.rekt 43200 IN A 194.160.39.160
dirac 43200 IN A 194.160.44.49
old.library 43200 IN CNAME web1
m149.rekt 43200 IN A 194.160.39.149
c64.eduroam 43200 IN A 192.108.133.64
m243.rekt 43200 IN A 194.160.39.243
c115.eduroam 43200 IN A 192.108.133.115
m140.rekt 43200 IN A 194.160.39.140
s72.rekt 43200 IN A 194.160.39.72
s109.rekt 43200 IN A 194.160.39.109
m173.rekt 43200 IN A 194.160.39.173
s95.rekt 43200 IN A 194.160.39.95
www.ubytovanie 43200 IN CNAME web2
c174.eduroam 43200 IN A 192.108.133.174
c4.eduroam 43200 IN A 192.108.133.4
c38.eduroam 43200 IN A 192.108.133.38
m248.rekt 43200 IN A 194.160.39.248
s77.rekt 43200 IN A 194.160.39.77
c97.eduroam 43200 IN A 192.108.133.97
m178.rekt 43200 IN A 194.160.39.178
c148.eduroam 43200 IN A 192.108.133.148
s17.rekt 43200 IN A 194.160.39.17
web4 43200 IN A 194.160.44.51
c2.eduroam 43200 IN A 192.108.133.2
c13.eduroam 43200 IN A 192.108.133.13
idm-public 43200 IN A 194.160.46.194
cekr 43200 IN MX 10 mail.cekr
lync 43200 IN A 194.160.44.41
c225.eduroam 43200 IN A 192.108.133.225
c72.eduroam 43200 IN A 192.108.133.72
s83.rekt 43200 IN A 194.160.39.83
s121.rekt 43200 IN A 194.160.39.121
c123.eduroam 43200 IN A 192.108.133.123
pedagog 43200 IN A 194.160.44.114
m184.rekt 43200 IN A 194.160.39.184
s23.rekt 43200 IN A 194.160.39.23
helpdesk 43200 IN A 194.160.44.32
c182.eduroam 43200 IN A 192.108.133.182
c120.eduroam 43200 IN A 192.108.133.120
c251.eduroam 43200 IN A 192.108.133.251
c46.eduroam 43200 IN A 192.108.133.46
portal.cekr 43200 IN A 194.160.44.195
cetip.ff 43200 IN CNAME www.fhv
comlab.fpv 43200 IN CNAME sparc.fpv
m189.rekt 43200 IN A 194.160.39.189
s28.rekt 43200 IN A 194.160.39.28
c156.eduroam 43200 IN A 192.108.133.156
m130.rekt 43200 IN A 194.160.39.130
www.ef 43200 IN CNAME web2
cert 43200 IN A 194.160.44.20
s107.rekt 43200 IN A 194.160.39.107
c9.eduroam 43200 IN A 192.108.133.9
c21.eduroam 43200 IN A 192.108.133.21
c119.eduroam 43200 IN A 192.108.133.119
autodiscover.studenti 43200 IN CNAME autodiscover.outlook.com.
s94.rekt 43200 IN A 194.160.39.94
c79.eduroam 43200 IN A 192.108.133.79
m225.rekt 43200 IN A 194.160.39.225
m195.rekt 43200 IN A 194.160.39.195
c131.eduroam 43200 IN A 192.108.133.131
s34.rekt 43200 IN A 194.160.39.34
c80.eduroam 43200 IN A 192.108.133.80
lms 43200 IN A 194.160.44.8
slovacivz 43200 IN CNAME www.pdf
web2 43200 IN A 194.160.44.6
web3 43200 IN A 194.160.44.45
c189.eduroam 43200 IN A 192.108.133.189
c199.eduroam 43200 IN A 192.108.133.199
m205.rekt 43200 IN A 194.160.39.205
s112.rekt 43200 IN A 194.160.39.112
mapserver.fpv 43200 IN A 194.160.44.69
www.kc 43200 IN CNAME web2
c54.eduroam 43200 IN A 192.108.133.54
s99.rekt 43200 IN A 194.160.39.99
c105.eduroam 43200 IN A 192.108.133.105
m211.rekt 43200 IN A 194.160.39.211
www.mc 43200 IN CNAME web1
m141.rekt 43200 IN A 194.160.39.141
c164.eduroam 43200 IN A 192.108.133.164
s6.rekt 43200 IN A 194.160.39.6
m155.rekt 43200 IN A 194.160.39.155
c233.eduroam 43200 IN A 192.108.133.233
doktorandi.pdf 43200 IN CNAME www.pdf
