b2xsb220b 14400 IN A 194.160.166.153
c5xsa518b 14400 IN A 194.160.172.176
vdlpxsp12a 14400 IN A 194.160.168.23
kskls 14400 IN MX 10 proxy.kskls.sk.
kskls 14400 IN A 194.160.176.2
az 14400 IN A 194.160.169.176
c5xsa519a 14400 IN A 194.160.172.177
c5xsa519b 14400 IN A 194.160.172.178
db 14400 IN A 194.160.170.44
c2960-kolp1 14400 IN A 194.160.169.8
c2960-kolp2 14400 IN A 194.160.169.9
c5xsa521a 14400 IN A 194.160.172.181
c5xsa521b 14400 IN A 194.160.172.182
c5xsa522a 14400 IN A 194.160.172.183
c5xsa522b 14400 IN A 194.160.172.184
c0xsc20a 14400 IN A 194.160.171.40
c4xsa433b 14400 IN A 194.160.172.85
b631-10 14400 IN A 194.160.115.117
b6xsb601b 14400 IN A 194.160.167.169
c5xsa523a 14400 IN A 194.160.172.185
c5xsa523b 14400 IN A 194.160.172.186
kalincovantb 14400 IN A 194.160.174.204
b6xsb602a 14400 IN A 194.160.167.170
b6xsb602b 14400 IN A 194.160.167.171
e407-02 14400 IN A 194.160.160.187
fw 14400 IN A 194.160.170.40
b6xsb603a 14400 IN A 194.160.167.172
b6xsb603b 14400 IN A 194.160.167.173
pl03a 14400 IN A 194.160.174.168
pl03b 14400 IN A 194.160.174.169
b6xsb604a 14400 IN A 194.160.167.174
b6xsb604b 14400 IN A 194.160.167.175
b6xsb605a 14400 IN A 194.160.167.176
b6xsb605b 14400 IN A 194.160.167.177
duc 14400 IN A 194.160.174.184
b6xsb606a 14400 IN A 194.160.167.178
b6xsb606b 14400 IN A 194.160.167.179
lukaciknb 14400 IN A 194.160.173.10
lf 14400 IN CNAME drevokaz
b1xsb125b 14400 IN A 194.160.166.69
b6xsb607b 14400 IN A 194.160.167.181
e407-10 14400 IN A 194.160.160.195
a319-01 14400 IN A 194.160.112.144
a319-02 14400 IN A 194.160.112.145
a319-03 14400 IN A 194.160.112.146
a319-04 14400 IN A 194.160.112.147
a319-05 14400 IN A 194.160.112.148
a319-06 14400 IN A 194.160.112.149
a319-07 14400 IN A 194.160.112.150
a319-08 14400 IN A 194.160.112.151
a319-10 14400 IN A 194.160.112.153
a319-11 14400 IN A 194.160.112.154
a319-12 14400 IN A 194.160.112.155
b2xsb222b 14400 IN A 194.160.166.157
mt 14400 IN A 194.160.170.129
vdlpxsp14a 14400 IN A 194.160.168.248
chrama 14400 IN A 194.160.169.174
oznamy 14400 IN A 194.160.170.112
b6xsb611a 14400 IN A 194.160.167.188
b6xsb611b 14400 IN A 194.160.167.189
u3 14400 IN A 194.160.170.11
pilar 14400 IN A 194.160.174.86
vdl1xs140a 14400 IN A 194.160.168.110
b6xsb612a 14400 IN A 194.160.167.190
b6xsb612b 14400 IN A 194.160.167.191
SWD-FE-E303-010 14400 IN A 194.160.160.16
antivir 14400 IN MX 20 antivir
antivir 14400 IN A 194.160.170.9
b6xsb613a 14400 IN A 194.160.167.192
b6xsb613b 14400 IN A 194.160.167.193
citnb162 14400 IN A 194.160.162.19
b6xsb614a 14400 IN A 194.160.167.194
b6xsb614b 14400 IN A 194.160.167.195
c505-01 14400 IN A 194.160.172.218
c505-02 14400 IN A 194.160.172.219
c505-03 14400 IN A 194.160.172.220
c505-04 14400 IN A 194.160.172.221
c505-05 14400 IN A 194.160.172.222
c505-06 14400 IN A 194.160.172.223
c505-07 14400 IN A 194.160.172.224
b6xsb615a 14400 IN A 194.160.167.196
b6xsb615b 14400 IN A 194.160.167.197
c505-11 14400 IN A 194.160.172.228
c505-12 14400 IN A 194.160.172.229
c505-13 14400 IN A 194.160.172.230
c505-14 14400 IN A 194.160.172.231
c505-15 14400 IN A 194.160.172.232
c505-16 14400 IN A 194.160.172.233
c505-17 14400 IN A 194.160.172.234
b6xsb616a 14400 IN A 194.160.167.198
b6xsb616b 14400 IN A 194.160.167.199
c505-21 14400 IN A 194.160.172.238
c505-22 14400 IN A 194.160.172.239
c505-23 14400 IN A 194.160.172.240
c505-24 14400 IN A 194.160.172.241
c505-25 14400 IN A 194.160.172.242
e106-01 14400 IN A 194.160.160.45
e106-02 14400 IN A 194.160.160.46
