@ 86400 IN SOA dns hostmaster.dns 2015042200 600 7200 604800 3600
@ 86400 IN MX 10 mx0
86400 IN MX 20 dreki
vel-051 86400 IN A 130.208.224.51
vel-052 86400 IN A 130.208.224.52
virt-003 86400 IN A 130.208.228.13
vel-056 86400 IN A 130.208.224.56
vel-750 86400 IN A 130.208.226.240
vel-058 86400 IN A 130.208.224.58
arg 86400 IN A 130.208.228.4
vel-062 86400 IN A 130.208.224.62
asa 86400 IN A 130.208.224.224
86400 IN A 130.208.228.2
vel-513 86400 IN A 130.208.226.3
vel-067 86400 IN A 130.208.224.67
bio 300 IN CNAME vel-649
sim-180 86400 IN A 130.208.228.180
heima-vs 86400 IN A 130.208.228.68
vel-515 86400 IN A 130.208.226.5
vel-360 86400 IN A 130.208.225.105
vel-690 86400 IN A 130.208.226.180
vel-104 86400 IN A 130.208.224.104
vel-105 86400 IN A 130.208.224.105
eden 86400 IN A 130.208.224.229
vel-108 86400 IN A 130.208.224.108
vel-109 86400 IN A 130.208.224.109
vel-112 86400 IN A 130.208.224.112
vel-113 86400 IN A 130.208.224.113
vel-115 86400 IN A 130.208.224.115
vel-116 86400 IN A 130.208.224.116
vel-117 86400 IN A 130.208.224.117
vel-119 86400 IN A 130.208.224.119
rhus-5h 86400 IN A 130.208.224.63
virt-018 86400 IN A 130.208.228.28
vel-703 86400 IN A 130.208.226.193
vpn-unak 86400 IN A 130.208.224.177
dc1 86400 IN A 130.208.224.172
dc2 86400 IN A 130.208.224.211
vel-135 86400 IN A 130.208.224.135
vel-136 86400 IN A 130.208.224.136
vel-138 86400 IN A 130.208.224.138
vel-139 86400 IN A 130.208.224.139
vel-142 86400 IN A 130.208.224.142
vel-143 86400 IN A 130.208.224.143
wifigw 86400 IN A 130.208.224.132
vel-614 86400 IN A 130.208.226.104
vel-146 86400 IN A 130.208.224.146
vel-147 86400 IN A 130.208.224.147
vel-150 86400 IN A 130.208.224.150
sql3 86400 IN A 130.208.224.41
hyperv0-2 86400 IN A 130.208.224.208
vel-154 86400 IN A 130.208.224.154
vel-526 86400 IN A 130.208.226.16
ting-a 86400 IN A 130.208.224.126
vel-107 86400 IN A 130.208.224.107
arcticportal2 86400 IN A 130.208.228.3
vel-330 86400 IN A 130.208.225.75
xanadu 86400 IN A 130.208.224.18
host-224 86400 IN A 130.208.228.224
host-225 86400 IN A 130.208.228.225
host-226 86400 IN A 130.208.228.226
host-227 86400 IN A 130.208.228.227
host-228 86400 IN A 130.208.228.228
host-230 86400 IN A 130.208.228.230
host-231 86400 IN A 130.208.228.231
vel-289 86400 IN A 130.208.225.34
vel-185 86400 IN A 130.208.224.185
vel-186 86400 IN A 130.208.224.186
vel-187 86400 IN A 130.208.224.187
www.logfraedingur 300 IN CNAME logfraedingur.800.is.
vel-189 86400 IN A 130.208.224.189
vel-191 86400 IN A 130.208.224.191
simenntun16 300 IN CNAME @
vel-193 86400 IN A 130.208.224.193
vel-273 86400 IN A 130.208.225.18
umsokn 300 IN CNAME sirius
fsha-vel 86400 IN A 130.208.224.247
vs 86400 IN A 130.208.224.97
proxy 300 IN CNAME gutti
wwwen3 300 IN A 157.157.147.144
vel-510 86400 IN A 130.208.225.255
vel-722 86400 IN A 130.208.226.212
ups-001 86400 IN A 130.208.224.159
vel-531 86400 IN A 130.208.226.21
vel-233 86400 IN A 130.208.224.233
dreki 86400 IN A 130.208.224.254
vel-238 86400 IN A 130.208.224.238
vel-240 86400 IN A 130.208.224.240
vel-241 86400 IN A 130.208.224.241
vel-242 86400 IN A 130.208.224.242
vel-407 86400 IN A 130.208.225.152
vel-539 86400 IN A 130.208.226.29
vel-694 86400 IN A 130.208.226.184
english 300 IN CNAME vefur
vel-227220 86400 IN A 130.208.227.220
vel-188 86400 IN A 130.208.224.188
www.nordkvist 300 IN CNAME sites
heima-eyglob 86400 IN A 130.208.228.86
vel-259 86400 IN A 130.208.225.4
vel-261 86400 IN A 130.208.225.6
vel-262 86400 IN A 130.208.225.7
gopro 300 IN CNAME orion
vel-264 86400 IN A 130.208.225.9
vel-265 86400 IN A 130.208.225.10
vel-266 86400 IN A 130.208.225.11
vel-267 86400 IN A 130.208.225.12
vel-268 86400 IN A 130.208.225.13
vel-269 86400 IN A 130.208.225.14
sim-134 86400 IN A 130.208.228.134
sim-135 86400 IN A 130.208.228.135
sim-136 86400 IN A 130.208.228.136
sim-137 86400 IN A 130.208.228.137
app1 86400 IN A 130.208.224.176
sim-139 86400 IN A 130.208.228.139
vel-277 86400 IN A 130.208.225.22
vel-278 86400 IN A 130.208.225.23
vel-279 86400 IN A 130.208.225.24
dns2 86400 IN A 130.208.224.254
vel-275 86400 IN A 130.208.225.20
vel-283 86400 IN A 130.208.225.28
deven 300 IN CNAME @
vel-285 86400 IN A 130.208.225.30
oesifolder 86400 IN A 130.208.224.235
vel-287 86400 IN A 130.208.225.32
vel-190 86400 IN A 130.208.224.190
sim-153 86400 IN A 130.208.228.153
sim-154 86400 IN A 130.208.228.154
sim-155 86400 IN A 130.208.228.155
sim-156 86400 IN A 130.208.228.156
sim-157 86400 IN A 130.208.228.157
sim-158 86400 IN A 130.208.228.158
sim-159 86400 IN A 130.208.228.159
sim-161 86400 IN A 130.208.228.161
av 86400 IN A 130.208.224.218
sim-163 86400 IN A 130.208.228.163
sim-164 86400 IN A 130.208.228.164
sim-165 86400 IN A 130.208.228.165
sim-166 86400 IN A 130.208.228.166
sim-167 86400 IN A 130.208.228.167
sim-168 86400 IN A 130.208.228.168
sim-169 86400 IN A 130.208.228.169
sim-171 86400 IN A 130.208.228.171
sim-172 86400 IN A 130.208.228.172
sim-173 86400 IN A 130.208.228.173
sim-174 86400 IN A 130.208.228.174
sim-175 86400 IN A 130.208.228.175
sim-176 86400 IN A 130.208.228.176
heima-olibui 86400 IN A 130.208.228.79
sim-178 86400 IN A 130.208.228.178
sim-179 86400 IN A 130.208.228.179
arctic-laser 86400 IN A 130.208.224.48
sim-182 86400 IN A 130.208.228.182
sim-183 86400 IN A 130.208.228.183
sim-184 86400 IN A 130.208.228.184
sim-185 86400 IN A 130.208.228.185
dns 86400 IN A 130.208.224.2
sim-187 86400 IN A 130.208.228.187
sim-188 86400 IN A 130.208.228.188
sim-189 86400 IN A 130.208.228.189
sim-191 86400 IN A 130.208.228.191
vel-338 86400 IN A 130.208.225.83
en 300 IN CNAME vefur
vel-341 86400 IN A 130.208.225.86
vel-342 86400 IN A 130.208.225.87
vel-343 86400 IN A 130.208.225.88
vel-344 86400 IN A 130.208.225.89
vel-345 86400 IN A 130.208.225.90
et 86400 IN A 130.208.228.5
vel-347 86400 IN A 130.208.225.92
vel-348 86400 IN A 130.208.225.93
vel-349 86400 IN A 130.208.225.94
vel-351 86400 IN A 130.208.225.96
vel-352 86400 IN A 130.208.225.97
en4 300 IN CNAME vefur
vel-354 86400 IN A 130.208.225.99
vel-355 86400 IN A 130.208.225.100
vel-356 86400 IN A 130.208.225.101
vel-357 86400 IN A 130.208.225.102
vel-358 86400 IN A 130.208.225.103
fw 86400 IN A 130.208.18.106
vel-361 86400 IN A 130.208.225.106
sima-gw 86400 IN A 130.208.228.129
vel-227226 86400 IN A 130.208.227.226
cisco-n-hus2 86400 IN A 130.208.224.133
vel-365 86400 IN A 130.208.225.110
vel-366 86400 IN A 130.208.225.111
vel-367 86400 IN A 130.208.225.112
vel-368 86400 IN A 130.208.225.113
vel-227141 86400 IN A 130.208.227.141
vel-140 86400 IN A 130.208.224.140
vel-372 86400 IN A 130.208.225.117
cisco-borgir-2h-2 86400 IN A 130.208.224.73
vel-374 86400 IN A 130.208.225.119
vel-375 86400 IN A 130.208.225.120
vel-227055 86400 IN A 130.208.227.55
vel-377 86400 IN A 130.208.225.122
vel-378 86400 IN A 130.208.225.123
prentarar 300 IN CNAME sirius
vel-381 86400 IN A 130.208.225.126
vel-382 86400 IN A 130.208.225.127
vel-383 86400 IN A 130.208.225.128
vel-384 86400 IN A 130.208.225.129
vel-385 86400 IN A 130.208.225.130
vel-386 86400 IN A 130.208.225.131
vel-387 86400 IN A 130.208.225.132
vel-388 86400 IN A 130.208.225.133
vel-389 86400 IN A 130.208.225.134
vel-391 86400 IN A 130.208.225.136
vel-392 86400 IN A 130.208.225.137
vel-393 86400 IN A 130.208.225.138
vel-394 86400 IN A 130.208.225.139
vel-395 86400 IN A 130.208.225.140
vel-396 86400 IN A 130.208.225.141
