portal 38400 IN A 200.16.117.105
vpnuis01 38400 IN A 200.16.118.72
ceiam 38400 IN CNAME serceiam
filosofiayensenanza 38400 IN A 200.16.117.95
chorlito 38400 IN A 200.16.118.79
vacadem 38400 IN CNAME calumet01uis.cloudapp.net.
vcBib01 38400 IN A 200.16.119.52
albatros 38400 IN CNAME calumet11uis.cloudapp.net.
PerlaRosa 38400 IN CNAME abuvilla
posgradoseeie 38400 IN CNAME posgeeieuis.cloudapp.net.
evaluacion 38400 IN CNAME alcatraz
cidic 38400 IN A 200.16.119.80
hairy 38400 IN A 200.16.119.33
