@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
hp81-aghdir-2 86400 IN A 140.105.19.202
hp81-aghdir-8 86400 IN A 140.105.19.208
vpn-lucatell 86400 IN A 140.105.37.61
mailhost1 86400 IN CNAME smtp1
mailhost2 86400 IN CNAME imap
mac-mueller 86400 IN A 140.105.27.145
pb-bazzo2 86400 IN A 140.105.39.86
messenger 86400 IN CNAME webmail
mail2 86400 IN CNAME imap
pb-scardicchio 86400 IN A 140.105.27.140
imsghana 86400 IN CNAME webmail
hp8g1-aghpub-3 86400 IN A 140.105.24.133
hp8g1-aghpub-4 86400 IN A 140.105.24.134
mac-ghirardi 86400 IN A 140.105.35.60
hp8g1-aghpub-5 86400 IN A 140.105.24.135
hp8g1-aghpub-6 86400 IN A 140.105.24.136
cal 86400 IN CNAME ghs.google.com.
cat 86400 IN CNAME library01
hp6-assoc-20 86400 IN A 140.105.27.78
mac-danforth 86400 IN A 140.105.38.173
gw-arpl-external 86400 IN A 140.105.28.1
bruno-navas-time-capsule 86400 IN A 140.105.26.232
hp83-step-1 86400 IN A 140.105.17.213
placeholder-radio-30 86400 IN A 140.105.26.219
hp83-step-2 86400 IN A 140.105.27.92
nj-mb7b 86400 IN A 140.105.26.65
fs2-virt 86400 IN CNAME fs1-virt
aficio-scan 86400 IN A 140.105.26.110
pb-michelcich 86400 IN A 140.105.22.31
onlineapps-test 86400 IN CNAME testbed
vm-netmgmt-alvise 86400 IN A 140.105.26.73
e-oea 86400 IN CNAME webmail
portal-mytime 86400 IN CNAME webmail
dns3 86400 IN A 140.105.33.49
docs 86400 IN CNAME ghs.google.com.
hiw-africa 86400 IN A 140.105.16.100
aiap4 86400 IN A 140.105.38.35
mailhost 86400 IN CNAME smtp
dods 86400 IN A 140.105.16.181
sci-staff 86400 IN CNAME webmail
cvs 86400 IN A 140.105.16.36
dns 86400 IN A 140.105.16.50
sharebox 86400 IN A 140.105.16.44
pb-zandomeneghi 86400 IN A 140.105.29.232
mac-tirana 86400 IN A 140.105.40.230
zope-scs 86400 IN A 140.105.16.135
scsprint 86400 IN CNAME scs2
vpnfratnik 86400 IN A 140.105.17.224
enf 86400 IN CNAME oldprintsv1
mm 86400 IN CNAME scs2
DZC 86400 IN TXT "FGbtUXi"
hp83-twas-1 86400 IN A 140.105.38.32
hp83-twas-2 86400 IN A 140.105.38.33
mac-scoltock 86400 IN A 140.105.39.6
pb-macor 86400 IN A 140.105.39.8
tmptest 86400 IN A 140.105.18.70
pb-torre 86400 IN A 140.105.35.62
esp 86400 IN CNAME webmail
ta 86400 IN CNAME webmail
rt 86400 IN CNAME webmail
hp6-vuck 86400 IN A 140.105.38.48
owsd 86400 IN CNAME webmail
mac-procure 86400 IN A 140.105.22.27
fs1 86400 IN A 140.105.16.8
fs2 86400 IN A 140.105.16.9
VC-Test 86400 IN A 140.105.47.7
scifablab 86400 IN A 140.105.28.91
ln-secure 86400 IN A 140.105.35.138
eya 86400 IN A 140.105.16.159
wm 86400 IN A 140.105.47.4
wm 86400 IN MX 1 wm
wm 86400 IN TXT "v=spf1 ip4:140.105.47.4 -all"
sdu-roomb 86400 IN A 140.105.28.115
c6509-a-v747 86400 IN A 140.105.47.21
libtst20 86400 IN A 140.105.16.143
vpn-macalam 86400 IN A 140.105.26.17
mac-hassanali 86400 IN A 140.105.27.149
ftp 86400 IN CNAME fs1-virt
mac-gotsche 86400 IN A 140.105.30.30
mac-bazzotest 86400 IN A 140.105.39.34
zope-scs2 86400 IN CNAME scs2
mac-passarella-ibook 86400 IN A 140.105.35.84
mac-acsagenda 86400 IN A 140.105.36.112
