@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
hp6-dnrd-10 86400 IN A 140.105.25.150
hp6-dnrd-11 86400 IN A 140.105.25.151
hp6-dnrd-12 86400 IN A 140.105.25.152
hp6-dnrd-13 86400 IN A 140.105.25.153
hp6-dnrd-14 86400 IN A 140.105.25.154
hp6-dnrd-15 86400 IN A 140.105.25.155
hp6-dnrd-16 86400 IN A 140.105.25.156
mac-maint2agh 86400 IN A 140.105.35.90
hp6-sciara 86400 IN A 140.105.38.37
hp6-lacey 86400 IN A 140.105.38.9
ictpsmtp 86400 IN CNAME smtp
mac-calligaris 86400 IN A 140.105.35.58
argo 86400 IN CNAME argo-login2
mlab 86400 IN A 140.105.28.105
icts-onime 86400 IN A 140.105.26.49
library 86400 IN CNAME webmail
hp83-1 86400 IN A 140.105.22.37
magicSBAS-PS 86400 IN A 140.105.26.233
hp83-3 86400 IN A 140.105.26.93
hp83-4 86400 IN A 140.105.26.94
hp83-5 86400 IN A 140.105.26.95
library01-iscsi 86400 IN A 140.105.34.105
hp83-7 86400 IN A 140.105.26.97
nb9-19-2 86400 IN A 140.105.19.2
nb9-19-3 86400 IN A 140.105.19.3
nb9-19-4 86400 IN A 140.105.19.4
nb9-19-5 86400 IN A 140.105.19.5
nb9-19-6 86400 IN A 140.105.19.6
nb9-19-7 86400 IN A 140.105.19.7
magicSBAS-RT 86400 IN A 140.105.26.234
nb9-19-9 86400 IN A 140.105.19.9
ace-vlan533-a 86400 IN A 140.105.33.251
ace-testbed 86400 IN A 140.105.33.234
mac-isten 86400 IN A 140.105.38.26
arpl 86400 IN A 140.105.28.99
archive1-ext 86400 IN A 140.105.16.152
mac-randjbar 86400 IN A 140.105.29.15
mac-michelcich 86400 IN A 140.105.22.15
sign-lb-big-l 86400 IN A 140.105.19.230
tech-office-old 86400 IN CNAME webmail
sign-lb-big-r 86400 IN A 140.105.19.231
hp83-inf-50 86400 IN A 140.105.23.60
vpn-condense-x5 86400 IN A 140.105.27.12
vpn-condense-x6 86400 IN A 140.105.27.13
call 86400 IN CNAME sdu
vpn-condense-x8 86400 IN A 140.105.27.15
radio-1 86400 IN CNAME pb-radicella
oea-1 86400 IN A 140.105.35.76
pc-sissa-audit 86400 IN A 140.105.30.223
kfas 86400 IN CNAME webmail
mac-zetto-test2 86400 IN A 140.105.39.10
nb-tuniz 86400 IN A 140.105.38.178
pb-creminelli 86400 IN A 140.105.29.16
mac-bottazzi 86400 IN A 140.105.35.9
lvs1 86400 IN A 140.105.16.171
lvs2 86400 IN A 140.105.16.172
mac-goran 86400 IN A 140.105.29.18
mac-security-mb 86400 IN A 140.105.35.74
tmp-20 86400 IN A 140.105.24.22
hp6-meeting1 86400 IN A 140.105.38.28
hp6-meeting2 86400 IN A 140.105.38.51
ex-p450-7 86400 IN CNAME pc-co3
webmail 86400 IN A 140.105.33.170
webmail 86400 IN MX 5 smtp
efb-218-3 86400 IN A 140.105.39.57
mac-mabilo 86400 IN A 140.105.35.6
newimap 86400 IN CNAME oldimap
vpn-unes-course 86400 IN A 140.105.26.15
ictp-help 86400 IN CNAME webmail
pb-dabholkar 86400 IN A 140.105.29.23
mac-vascotto2 86400 IN A 140.105.37.3
salam 86400 IN CNAME webmail
hp6-clima-5 86400 IN A 140.105.29.235
hp83-inf-2 86400 IN A 140.105.23.12
mac-bosio 86400 IN A 140.105.35.103
clima-c2d1 86400 IN A 140.105.32.46
sm2 86400 IN A 140.105.16.129
libcat20 86400 IN A 140.105.16.210
spgeo4 86400 IN A 140.105.32.23
hp8g1-ictslab 86400 IN A 140.105.26.64
cl-raidctrl 86400 IN A 140.105.16.73
news 86400 IN A 140.105.16.134
tc-tuniz 86400 IN A 140.105.17.195
www.avogadro 86400 IN A 140.105.28.91
cl-1 86400 IN A 140.105.32.129
cl-2 86400 IN A 140.105.32.130
libef 86400 IN A 140.105.40.225
mac-grilli 86400 IN A 140.105.35.50
mac-stu 86400 IN A 140.105.35.2
twas-ext 86400 IN CNAME twasweb
wireless2 86400 IN CNAME arpl
mac-marsili 86400 IN A 140.105.27.146
mac-stoch 86400 IN A 140.105.35.77
mac-admings-ef 86400 IN A 140.105.35.39
scs-12 86400 IN CNAME wm
nb-bnava-o 86400 IN A 140.105.26.223
mac-gouba 86400 IN A 140.105.25.134
pb-raniero 86400 IN A 140.105.22.34
mac-abramowicz 86400 IN A 140.105.40.214
mac-lvisintin 86400 IN A 140.105.40.228
pb-coppola-e 86400 IN A 140.105.29.137
fitweb 86400 IN A 140.105.16.142
mac-bertolini 86400 IN A 140.105.22.2
suntest1 86400 IN A 140.105.32.237
suntest2 86400 IN A 140.105.32.238
cl-dell 86400 IN A 140.105.32.131
mac-silva 86400 IN A 140.105.27.147
twnso-ext 86400 IN CNAME twasweb
nb9-19-71 86400 IN A 140.105.19.71
hp83-lib-14 86400 IN A 140.105.40.41
hp6-math-19 86400 IN A 140.105.30.72
ecsac 86400 IN CNAME webmail
onlineapps 86400 IN CNAME webmail
calendar 86400 IN CNAME webmail
mac-fairclough 86400 IN A 140.105.35.75
timehost-2 86400 IN CNAME fs1
mac-chelaflores 86400 IN A 140.105.35.116
nb-twas3 86400 IN A 140.105.38.83
diploma-clear 86400 IN CNAME webmail
mac-printing 86400 IN A 140.105.35.67
sapam 86400 IN CNAME webmail
video 86400 IN A 140.105.47.6
signage-lb-entr-1 86400 IN A 140.105.19.172
lbdir-3-hf 86400 IN A 140.105.30.220
hp83-he-20 86400 IN A 140.105.29.69
pb-dotcom 86400 IN A 140.105.39.44
library01 86400 IN A 140.105.16.105
hp83-pc-mail 86400 IN A 140.105.35.132
vpn-rorsaria 86400 IN A 140.105.35.127
dods-testbed 86400 IN A 140.105.16.182
vpnsabrina 86400 IN A 140.105.26.9
placeholder-library-13 86400 IN A 140.105.40.23
amd64-clima1b 86400 IN CNAME amd64-clima1
ictpsmtp1 86400 IN CNAME smtp1
tc1-tuniz 86400 IN A 140.105.17.197
nb-radicella2 86400 IN A 140.105.26.231
hp6-johnson 86400 IN A 140.105.38.50
indico-tmp 86400 IN A 140.105.16.168
testw81 86400 IN A 140.105.26.56
ln-assoc-19 86400 IN A 140.105.27.68
vpn-ratosa 86400 IN A 140.105.26.16
online 86400 IN CNAME streaming
pc-vuck1 86400 IN A 140.105.38.49
mac-zar 86400 IN A 140.105.40.226
nj-mb3 86400 IN A 140.105.26.70
magicSBAS-MON 86400 IN A 140.105.26.235
hp6-math-10 86400 IN A 140.105.30.84
hp6-math-11 86400 IN A 140.105.30.80
hp6-math-12 86400 IN A 140.105.30.76
hp6-math-13 86400 IN A 140.105.30.75
hp6-math-14 86400 IN A 140.105.30.74
hp6-math-15 86400 IN A 140.105.30.77
hp6-math-16 86400 IN A 140.105.30.67
hp6-math-17 86400 IN A 140.105.30.6
hp6-math-18 86400 IN A 140.105.30.3
hp6-math-20 86400 IN A 140.105.30.86
hp6-math-21 86400 IN A 140.105.30.88
hp6-math-22 86400 IN A 140.105.30.79
hp6-math-23 86400 IN A 140.105.30.5
hp6-math-24 86400 IN A 140.105.30.81
hp6-math-25 86400 IN A 140.105.30.7
hp6-math-26 86400 IN A 140.105.30.78
hp6-math-27 86400 IN A 140.105.30.4
mac-reja 86400 IN A 140.105.35.23
ln-assoc-10 86400 IN A 140.105.27.59
ln-assoc-11 86400 IN A 140.105.27.60
ln-assoc-12 86400 IN A 140.105.27.61
ln-assoc-13 86400 IN A 140.105.27.62
ln-assoc-14 86400 IN A 140.105.27.63
ln-assoc-15 86400 IN A 140.105.27.64
ln-assoc-16 86400 IN A 140.105.27.65
ln-assoc-17 86400 IN A 140.105.27.66
ln-assoc-18 86400 IN A 140.105.27.67
ln-assoc-20 86400 IN A 140.105.27.69
hp6-math-1 86400 IN A 140.105.30.66
hp6-math-2 86400 IN A 140.105.30.69
hp6-math-3 86400 IN A 140.105.30.87
hp6-math-4 86400 IN A 140.105.30.83
hp6-math-5 86400 IN A 140.105.30.70
hp6-math-6 86400 IN A 140.105.30.71
hp6-math-7 86400 IN A 140.105.30.68
hp6-math-8 86400 IN A 140.105.30.73
hp6-math-9 86400 IN A 140.105.30.85
