www.descur 3600 IN CNAME webunach2
www.inscripcion 3600 IN CNAME inscripcion
sun1.fcp 3600 IN A 148.222.142.3
www.registroaspirantes.cv 3600 IN CNAME cv2
simposio.fcp 3600 IN A 148.222.11.20
cij 3600 IN A 54.172.202.181
www.ticketmi 3600 IN CNAME cv2
www.ecoesad 3600 IN CNAME serversauce
uv 3600 IN A 148.222.11.102
www.samodinduccion 3600 IN CNAME samodinduccion
www.esa.especialidades 3600 IN CNAME esa.especialidades
dan 3600 IN CNAME webunach2
www.ddh.doctorados 3600 IN CNAME ddh.doctorados
dgip-prov 3600 IN A 148.222.11.20
www.mceme.maestrias 3600 IN CNAME mceme.maestrias
cevcon 3600 IN CNAME webunach2
cmi 3600 IN A 148.222.11.101
dcs 3600 IN A 201.116.39.2
ma.maestrias 3600 IN A 148.222.11.20
www.influenza 3600 IN CNAME serversauce
www.feriaanfeca.fcp 3600 IN CNAME fcp
www.adquisiciones 3600 IN CNAME sysweb
siscat 3600 IN CNAME webunach2
www.investigadores 3600 IN CNAME webunach2
uvd.didactica 3600 IN CNAME modeloeducativo
www.biociencias 3600 IN CNAME webunach2
cv2 60 IN A 201.116.39.3
docas.doctorados 3600 IN A 148.222.11.20
www.frecuencia.ocelote 3600 IN CNAME serversauce
www.mec.maestrias 3600 IN CNAME mec.maestrias
www.mdcs.maestrias 3600 IN CNAME mdcs.maestrias
www.mgdp.maestrias 3600 IN CNAME mgdp.maestrias
www.violenciagenero 3600 IN CNAME violenciagenero
proyecto2018 3600 IN A 148.222.11.20
www.rishort 3600 IN CNAME webunach2
www.propuesta 3600 IN CNAME propuesta
bibliotecadigital.veterinaria 3600 IN CNAME webunach2
aniversario40 3600 IN A 148.222.11.20
www.serviciosagricolas 3600 IN CNAME webunach2
openlsc 3600 IN A 148.222.26.2
dns2 60 IN A 148.222.11.1
dns3 60 IN A 148.222.141.1
www.licenciatura 3600 IN CNAME cv2
www.lenguas-tap 3600 IN CNAME webunach2
vc.educad 3600 IN CNAME educad
mailhost 3600 IN CNAME montebello
serviciosocial 3600 IN A 148.222.11.118
sireec.cv 3600 IN CNAME webunach2
maciel2 3600 IN A 148.222.60.0
educad 3600 IN A 201.116.39.9
www.lsc 3600 IN CNAME webunach2
sintonia.humanidades 3600 IN A 148.222.11.114
doctorados 3600 IN CNAME cv2
www.une-t 3600 IN CNAME cv2
investigadoresunach 3600 IN CNAME webunach2
www.congresoeducacion 3600 IN CNAME modeloeducativo
cefymap 3600 IN A 148.222.11.20
www.deducon 3600 IN CNAME webunach2
cv 3600 IN A 201.116.39.12
humanidades0 3600 IN A 148.222.50.0
dns 3600 IN A 201.116.39.10
unachfw2 3600 IN A 148.222.12.254
www.hitravelar 3600 IN CNAME hitravelar
es 3600 IN CNAME webunach2
eu 3600 IN CNAME webunach2
www.dpps 3600 IN CNAME webunach2
diplomados.cv 3600 IN CNAME cv2
epa.especialidades 3600 IN A 148.222.11.20
mdie.maestrias 3600 IN A 148.222.11.20
www.congresomigracion 3600 IN CNAME webunach2
www.foto40aniversario 3600 IN CNAME foto40aniversario
www.textosdeinvestigacion 3600 IN CNAME textosdeinvestigacion
revista-sociales 3600 IN CNAME serversauce
www.sied 3600 IN CNAME webunach2
id 3600 IN CNAME serversauce
www.pedped 3600 IN CNAME webunach2
talapachula-local 3600 IN A 148.222.1.10
www.unachsolidaria 3600 IN CNAME webunach2
archivopersonal 3600 IN CNAME cv2
fca 3600 IN A 148.222.11.20
www.caecd 3600 IN CNAME modeloeducativo
www.encuentrolenguas 3600 IN CNAME webunach2
www.colaboracion 3600 IN CNAME webunach2
dns3.unach.mx 3600 IN A 148.222.141.1
der.doctorados 3600 IN A 148.222.11.20
enc 3600 IN A 10.10.15.2
ceaye 3600 IN CNAME webunach2
www.unachconveniosedesol 3600 IN CNAME unachconveniosedesol
tutoriasposgrado 3600 IN A 148.222.11.20
serviciosagricolas 3600 IN CNAME webunach2
club-ocelotes 3600 IN CNAME webunach2
mdl.maestrias 3600 IN A 148.222.11.20
oa 3600 IN CNAME cv2
www.forocti 3600 IN CNAME webunach2
encuestas.fca 3600 IN CNAME webunach2
pturisticos.aulavirtual 3600 IN A 148.222.11.100
www.educad.fcp 3600 IN CNAME educad.fcp
jabber 3600 IN A 148.222.11.2
www.innovacion 3600 IN CNAME webunach2
fic 3600 IN CNAME webunach2
www.auscultacion 3600 IN CNAME unach2
dns2.unach.mx 3600 IN A 148.222.11.1
recorridos 3600 IN CNAME webunach2
www.sireec.cv 3600 IN CNAME webunach2
www.extension 3600 IN CNAME webunach2
posgrado 3600 IN CNAME webunach2
www.virtualmedia 3600 IN CNAME virtualmedia
ceea0 3600 IN A 148.222.140.0
crisalida 3600 IN CNAME modeloeducativo
_xmpp-server 3600 IN SRV 5 0 5269 jabber
cedem 3600 IN CNAME webunach2
loghost 3600 IN CNAME montebello
siae 3600 IN A 201.116.39.6
planeacion1 3600 IN A 148.222.100.1
cedes 3600 IN A 148.222.11.20
fororecursosgeneticos 3600 IN CNAME webunach2
www.planeacion 3600 IN CNAME planeacion
www.psicopedagogico-fca1 3600 IN CNAME webunach2
tv 3600 IN A 148.222.11.6
www.dgeuserver 3600 IN CNAME dgeuserver
www.mdca.maestrias 3600 IN CNAME mdca.maestrias
www.diplomado.adultosmayores 3600 IN CNAME webunach2
dpps 3600 IN CNAME webunach2
www.ccea 3600 IN CNAME webunach2
sui 3600 IN A 148.222.11.21
gw-ext 3600 IN A 148.222.13.254
www.sisu 3600 IN CNAME webunach2
sied 3600 IN CNAME webunach2
www.dsia 3600 IN CNAME dsia
www.ingenieria 3600 IN CNAME webunach2
appsauce 3600 IN A 148.222.11.41
lenguastap 3600 IN CNAME webunach2
fddi-arq 3600 IN A 148.222.1.2
dns.unach.mx 3600 IN A 201.116.39.10
www.agronomia 3600 IN CNAME agronomia
servidores255 3600 IN A 148.222.11.255
fddi-biblio 3600 IN A 148.222.1.1
www.monitoreococodrilos 3600 IN CNAME modeloeducativo
ftp 3600 IN CNAME webunach2
localhost 3600 IN A 127.0.0.1
wwww.aniversario40 3600 IN CNAME aniversario40
monitoreococodrilos 3600 IN CNAME modeloeducativo
correo 3600 IN CNAME montebello
entrediversidades 3600 IN CNAME webunach2
comunicaciones248 3600 IN A 148.222.12.248
www.bibliotecadigital.veterinaria 3600 IN CNAME webunach2
www.mcbc.maestrias 3600 IN CNAME mcbc.maestrias
dse0 3600 IN A 148.222.160.0
www.muestralibro 3600 IN CNAME webunach2
humatap.fcp 3600 IN CNAME fcp
www.aulauv 3600 IN CNAME aulauv
www.derecho 3600 IN CNAME derecho
gw-fw 3600 IN A 148.222.13.253
www.simposio.fcp 3600 IN CNAME simposio.fcp
condde 3600 IN A 148.222.11.20
arriaga 3600 IN CNAME webunach2
testmoodle 3600 IN A 148.222.11.90
www.blog 3600 IN CNAME blog
www.secadva 3600 IN CNAME secadva
www.ceune 3600 IN CNAME webunach2
formacioneinvestigacion 3600 IN CNAME modeloeducativo
www.cevcon 3600 IN CNAME webunach2
ocelotes 3600 IN CNAME fcp
repositorio.dcs 3600 IN A 148.222.11.8
biblioteca255 3600 IN A 148.222.12.255
www.tics.humanidades 3600 IN CNAME tics.humanidades
gpafiu 3600 IN CNAME modeloeducativo
lenguas-tux-local 3600 IN A 148.222.1.18
www.ecozootecnia 3600 IN CNAME webunach2
www.mcpat.maestrias 3600 IN CNAME mcpat.maestrias
www.ma.maestrias 3600 IN CNAME ma.maestrias
asuntos 3600 IN A 148.222.11.118
www.sociales 3600 IN CNAME sociales
www.cean 3600 IN CNAME cean
www.pedpedvirtual 3600 IN CNAME webunach2
gestion.calidad 3600 IN CNAME webunach2
ccea 3600 IN CNAME webunach2
iei 3600 IN CNAME webunach2
router3800 3600 IN A 148.222.12.253
sisu 3600 IN CNAME webunach2
tutorias.modeloeducativo 3600 IN CNAME modeloeducativo
dsia 3600 IN A 148.222.60.2
www.cecs 3600 IN CNAME webunach2
derecho 3600 IN A 148.222.11.20
www.becas 3600 IN CNAME becas
congresocedes 3600 IN A 148.222.11.20
www.conaic.fcp 3600 IN CNAME fcp
www.docas.doctorados 3600 IN CNAME docas.doctorados
iij 3600 IN A 54.172.202.181
agricolas 3600 IN A 148.222.11.20
www.sondeopreu 3600 IN CNAME serversauce
www.directorio 3600 IN CNAME directorio
encuentrolenguas 3600 IN CNAME webunach2
www.educad 3600 IN CNAME educad
www.especialidades.cv 3600 IN A 148.222.11.100
www.radio 3600 IN CNAME radio
www.congresoadmon 3600 IN CNAME webunach2
gw-hum 3600 IN A 148.222.150.254
www.maestriaspresenciales 3600 IN CNAME cv2
www.migrantes 3600 IN A 148.222.11.101
reinscripciones 3600 IN CNAME siae
influenza 3600 IN CNAME serversauce
tics.humanidades 3600 IN A 148.222.11.114
www.aspirantes 3600 IN CNAME aspirantes
arquitectura 3600 IN A 148.222.11.20
nagios 3600 IN A 148.222.12.201
www.monitor 3600 IN CNAME monitor
escuelamaya 3600 IN CNAME webunach2
secadva 3600 IN A 148.222.11.20
blog 3600 IN A 148.222.11.90
www.sysweb 3600 IN CNAME sysweb
www.caiha 3600 IN CNAME webunach2
www.centromesoaemricano 3600 IN CNAME webunach2
www.siae2 3600 IN CNAME siae
www.sed 3600 IN CNAME webunach2
www.ocelotes 3600 IN CNAME fcp
www.estanciainfantil 3600 IN CNAME webunach2
cecocise 3600 IN A 148.222.11.20
www.cemesad 3600 IN CNAME cemesad
www.docgestion.ccea 3600 IN CNAME webunach2
ecacampusvii 3600 IN CNAME webunach2
sociales 3600 IN A 148.222.11.20
www.elsc 3600 IN CNAME webunach2
eass.especialidades 3600 IN A 148.222.11.20
www.fororecursosgeneticos 3600 IN CNAME webunach2
dhcp-usir 3600 IN A 148.222.12.1
facmed 3600 IN CNAME webunach2
cean 3600 IN A 148.222.11.20
email 3600 IN A 201.116.39.5
observa 3600 IN CNAME webunach2
dd.doctorados 3600 IN A 148.222.11.20
www.bibliotecagenero 3600 IN CNAME webunach2
odm.maestrias 3600 IN A 148.222.11.20
www.edpt.especialidades 3600 IN CNAME edpt.especialidades
www.archivopersonal 3600 IN CNAME cv2
secure 3600 IN CNAME montebello
juntadegobierno 3600 IN CNAME webunach2
lenguas-tap 3600 IN CNAME webunach2
diplomado.adultosmayores 3600 IN CNAME webunach2
ceea 3600 IN CNAME webunach2
foro-ti 3600 IN CNAME cv2
contraloriasocial 3600 IN CNAME webunach2
seminariomujer 3600 IN CNAME cv2
preregistro_eu 3600 IN CNAME webunach2
www.servicios 3600 IN CNAME servicios
aleph 3600 IN A 148.222.32.3
centromesoamericano 3600 IN CNAME webunach2
fcp0 3600 IN A 148.222.40.0
www.ecommerce 3600 IN CNAME ecommerce
mcf.maestrias 3600 IN A 148.222.11.20
modeloeducativo 3600 IN A 148.222.11.3
ambiental 3600 IN CNAME webunach2
webunach2 3600 IN A 201.116.39.4
seguridadalimentaria 3600 IN CNAME cv2
ecoesad 3600 IN CNAME serversauce
mddh.maestrias 3600 IN A 148.222.11.20
m.siae 3600 IN A 201.116.39.6
pedped 3600 IN CNAME webunach2
cesa-fca 3600 IN CNAME sistemas
talapachula-remote 3600 IN A 148.222.1.11
www.pronadameg 3600 IN CNAME webunach2
maestriaspresenciales 3600 IN CNAME cv2
ceaye0 3600 IN A 148.222.130.0
ceaye1 3600 IN A 148.222.130.1
proyectos.cv 3600 IN CNAME cv2
licenciatura 3600 IN CNAME cv2
bibliotecagenero 3600 IN CNAME webunach2
www.cecocise 3600 IN CNAME cecocise
www.sui 3600 IN CNAME sui
www.quimicas-ocozocoautla 3600 IN CNAME quimicas.ocozocoautla
www.ecacampusviii 3600 IN CNAME webunach2
esa.especialidades 3600 IN A 148.222.11.20
www.egresados.fcp 3600 IN CNAME egresados.fcp
edpt.especialidades 3600 IN A 148.222.11.20
elsc 3600 IN CNAME webunach2
mi2 3600 IN A 148.222.11.33
www.libroselectronicos 3600 IN CNAME cv2
transparencia 3600 IN A 148.222.11.20
www.cgpe 3600 IN CNAME webunach2
sclc-remote 3600 IN A 148.222.1.13
unachsolidaria 3600 IN CNAME webunach2
centromezcalapa 3600 IN CNAME webunach2
www.cv 3600 IN CNAME cv
observatoriociudadano 3600 IN CNAME webunach2
webconference 3600 IN CNAME webunach2
www.correo 3600 IN CNAME montebello
www.desarrollosocial 3600 IN CNAME desarrollosocial
www.es 3600 IN CNAME webunach2
www.eu 3600 IN CNAME webunach2
libro 3600 IN CNAME webunach2
www.lenguastap 3600 IN CNAME webunach2
finanzas 3600 IN CNAME webunach2
www.posgrado.facmed 3600 IN CNAME webunach2
innovacion 3600 IN CNAME webunach2
www.agroindustrias 3600 IN CNAME webunach2
mcu 3600 IN A 148.222.16.6
serversauce 3600 IN A 201.116.39.2
evento40aniversario 3600 IN A 148.222.11.20
www.condde 3600 IN CNAME condde
sined 3600 IN CNAME webunach2
audescacaochocolate 3600 IN CNAME webunach2
campusvirtual 3600 IN A 148.222.11.101
www.frecuenciaocelote 3600 IN CNAME serversauce
www.cguv 3600 IN CNAME webunach2
colaboracion 3600 IN CNAME webunach2
lenguas-tux 3600 IN CNAME webunach2
cisco2511-249 3600 IN A 148.222.12.249
posgradofca 3600 IN A 148.222.11.20
cisco2511-252 3600 IN A 148.222.12.252
deducon 3600 IN CNAME webunach2
secacad 3600 IN CNAME webunach2
www.bolsadetrabajo.fcp 3600 IN CNAME fcp
www.encuentroempresarial 3600 IN CNAME encuentroempresarial
especialidades.cv 3600 IN A 148.222.11.100
sedes 3600 IN CNAME webunach2
www.sistemas 3600 IN CNAME sistemas
lsc 3600 IN CNAME webunach2
c-admon-civ-0 3600 IN A 148.222.30.0
c-admon-civ-1 3600 IN A 148.222.30.1
www.oa 3600 IN CNAME cv2
www.escolares 3600 IN CNAME escolares
www.siscat 3600 IN CNAME webunach2
www.ceunach 3600 IN CNAME ceunach
fddi-rect 3600 IN A 148.222.1.3
multimedia 3600 IN CNAME webunach2
auscultacion 3600 IN CNAME unach2
libroselectronicos 3600 IN CNAME cv2
www.pturisticos.aulavirtual 3600 IN CNAME pturisticos.aulavirtual
www.educa-t 3600 IN A 148.222.11.100
www.iei 3600 IN CNAME webunach2
fca-c4 3600 IN CNAME webunach2
virtualmedia 3600 IN A 148.222.11.101
www.ee.especialidades 3600 IN CNAME ee.especialidades
www.autonomiaautogestion 3600 IN CNAME webunach2
