chess 900 IN CNAME kentico-p
slmc 900 IN CNAME kentico-p
fpri 900 IN CNAME kentico-p
coef 900 IN CNAME kentico-p
tabletennis 900 IN CNAME kentico-p
cchange 900 IN CNAME uctbud
iasp-africa2013 900 IN CNAME kentico-p
router195 900 IN A 196.21.195.254
sacla2014 900 IN CNAME kentico-p
law 900 IN CNAME kentico-p
ulpd 900 IN CNAME kentico-p
businessman 900 IN CNAME kentico-p
photography 900 IN CNAME kentico-p
openacad 900 IN A 192.96.15.128
securemail 900 IN A 196.21.192.41
mydispense 900 IN A 54.195.250.88
lynx 900 IN A 196.21.193.168
zoology 900 IN CNAME kentico-p
GMSAMechatronics 900 IN CNAME kentico-p
radiography 900 IN CNAME kentico-p
2ndcm 900 IN CNAME kentico-p
instructor 900 IN A 192.96.15.233
mathstats 900 IN CNAME kentico-p
techtransfer 900 IN CNAME kentico-p
mad 900 IN CNAME kentico-p
education 900 IN CNAME kentico-p
squash 900 IN CNAME kentico-p
cerm 900 IN CNAME kentico-p
mba 900 IN CNAME rproxy
lit 900 IN CNAME kentico-p
accounting 900 IN CNAME kentico-p
thetha 900 IN A 196.21.193.167
cycling 900 IN CNAME kentico-p
hrtemprojects 900 IN A 192.96.15.103
finaid 900 IN CNAME kentico-p
palama 900 IN A 192.96.15.42
paulwebb 900 IN CNAME rproxy
karate 900 IN CNAME kentico-p
lawofthesea 900 IN CNAME kentico-p
introstudies 900 IN CNAME kentico-p
webserv01 900 IN A 196.21.192.111
textile 900 IN CNAME kentico-p
planning 900 IN CNAME kentico-p
conference 900 IN CNAME kentico-p
maths 900 IN CNAME kentico-p
_xmpp-server._tcp 900 IN SRV 5 0 5269 im
hefma2014 900 IN CNAME kentico-p
sict-sql 900 IN A 196.21.192.76
amd2014 900 IN CNAME kentico-p
sustainability 900 IN CNAME kentico-p
george 900 IN CNAME rproxy
staffpages 900 IN CNAME staff
siphr 900 IN CNAME kentico-p
webs 900 IN A 196.21.193.171
canradbooking 900 IN CNAME kentico-p
mls 900 IN CNAME kentico-p
newstest 900 IN CNAME kentico-p
postal 900 IN CNAME kentico-p
grysbok 900 IN CNAME kentico-p
chem 900 IN CNAME kentico-p
watchdog 900 IN A 192.96.7.25
judo 900 IN CNAME kentico-p
moo 900 IN A 192.96.15.249
testpat 900 IN A 192.96.15.46
reprographic 900 IN CNAME kentico-p
video 900 IN CNAME rproxy
hivaids 900 IN CNAME kentico-p
botany 900 IN CNAME kentico-p
muria 900 IN CNAME kentico-p
cleaning 900 IN CNAME kentico-p
epal 900 IN CNAME kentico-p
entsa 900 IN CNAME kentico-p
economics 900 IN CNAME kentico-p
industeng 900 IN CNAME kentico-p
