@ 7200 IN SOA ns1 sysadmin 2015042900 3600 1800 604800 7200
@ 7200 IN NS ns1
7200 IN NS ns2
7200 IN NS ns3
7200 IN NS dns-ext1.dartmouth.edu.
@ 7200 IN TXT "MS=5E354484999182623AA1D571BBB9AA1365849A89"
@ 7200 IN MX 1 ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
7200 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
aug-facstaff-141-224-223-53 7200 IN A 141.224.223.53
aug-student-141-224-202-102 7200 IN A 141.224.202.102
urness-141-224-232-72 7200 IN A 141.224.232.72
aug-student-141-224-202-103 7200 IN A 141.224.202.103
urness-141-224-232-150 7200 IN A 141.224.232.150
urness-141-224-232-73 7200 IN A 141.224.232.73
aug-student-141-224-202-104 7200 IN A 141.224.202.104
urness-141-224-232-120 7200 IN A 141.224.232.120
aug-student-141-224-202-105 7200 IN A 141.224.202.105
urness-141-224-232-75 7200 IN A 141.224.232.75
aug-student-141-224-202-106 7200 IN A 141.224.202.106
urness-141-224-232-76 7200 IN A 141.224.232.76
aug-student-141-224-202-107 7200 IN A 141.224.202.107
aug-guest-141-224-219-200 7200 IN A 141.224.219.200
urness-141-224-232-123 7200 IN A 141.224.232.123
aug-student-141-224-202-108 7200 IN A 141.224.202.108
aug-guest-141-224-219-191 7200 IN A 141.224.219.191
urness-141-224-232-78 7200 IN A 141.224.232.78
aug-student-141-224-192-109 7200 IN A 141.224.192.109
aug-guest-141-224-219-192 7200 IN A 141.224.219.192
urness-141-224-232-79 7200 IN A 141.224.232.79
aug-student-141-224-202-111 7200 IN A 141.224.202.111
aug-guest-141-224-219-193 7200 IN A 141.224.219.193
urness-141-224-232-81 7200 IN A 141.224.232.81
aug-student-141-224-202-112 7200 IN A 141.224.202.112
aug-guest-141-224-219-194 7200 IN A 141.224.219.194
urness-141-224-232-127 7200 IN A 141.224.232.127
aug-student-141-224-202-113 7200 IN A 141.224.202.113
aug-guest-141-224-219-195 7200 IN A 141.224.219.195
urness-141-224-232-83 7200 IN A 141.224.232.83
aug-student-141-224-202-114 7200 IN A 141.224.202.114
aug-guest-141-224-219-196 7200 IN A 141.224.219.196
urness-141-224-232-129 7200 IN A 141.224.232.129
aug-student-141-224-202-115 7200 IN A 141.224.202.115
aug-guest-141-224-219-197 7200 IN A 141.224.219.197
urness-141-224-232-85 7200 IN A 141.224.232.85
aug-student-141-224-202-116 7200 IN A 141.224.202.116
aug-guest-141-224-219-198 7200 IN A 141.224.219.198
urness-141-224-232-86 7200 IN A 141.224.232.86
aug-student-141-224-202-117 7200 IN A 141.224.202.117
aug-guest-141-224-219-210 7200 IN A 141.224.219.210
urness-141-224-232-87 7200 IN A 141.224.232.87
aug-student-141-224-202-118 7200 IN A 141.224.202.118
urness-141-224-232-88 7200 IN A 141.224.232.88
aug-student-141-224-192-119 7200 IN A 141.224.192.119
urness-141-224-232-89 7200 IN A 141.224.232.89
aug-student-141-224-202-121 7200 IN A 141.224.202.121
urness-141-224-232-136 7200 IN A 141.224.232.136
aug-student-141-224-202-122 7200 IN A 141.224.202.122
urness-141-224-232-92 7200 IN A 141.224.232.92
aug-student-141-224-202-123 7200 IN A 141.224.202.123
urness-141-224-232-93 7200 IN A 141.224.232.93
aug-student-141-224-204-140 7200 IN A 141.224.204.140
aug-student-141-224-202-124 7200 IN A 141.224.202.124
urness-141-224-232-140 7200 IN A 141.224.232.140
aug-student-141-224-202-125 7200 IN A 141.224.202.125
urness-141-224-232-95 7200 IN A 141.224.232.95
aug-student-141-224-202-126 7200 IN A 141.224.202.126
urness-141-224-232-96 7200 IN A 141.224.232.96
aug-student-141-224-202-127 7200 IN A 141.224.202.127
aug-student-141-224-204-70 7200 IN A 141.224.204.70
aug-guest-141-224-219-219 7200 IN A 141.224.219.219
urness-141-224-232-143 7200 IN A 141.224.232.143
aug-student-141-224-202-128 7200 IN A 141.224.202.128
urness-141-224-232-98 7200 IN A 141.224.232.98
aug-student-141-224-192-129 7200 IN A 141.224.192.129
oren-141-224-242-203 7200 IN A 141.224.242.203
urness-141-224-232-99 7200 IN A 141.224.232.99
aug-student-141-224-202-131 7200 IN A 141.224.202.131
aug-student-141-224-206-206 7200 IN A 141.224.206.206
aug-student-141-224-202-132 7200 IN A 141.224.202.132
aug-student-141-224-202-133 7200 IN A 141.224.202.133
aug-student-141-224-202-134 7200 IN A 141.224.202.134
aug-facstaff-141-224-223-60 7200 IN A 141.224.223.60
aug-student-141-224-202-135 7200 IN A 141.224.202.135
aug-student-141-224-202-136 7200 IN A 141.224.202.136
aug-student-141-224-202-137 7200 IN A 141.224.202.137
aug-guest-141-224-219-230 7200 IN A 141.224.219.230
aug-student-141-224-202-138 7200 IN A 141.224.202.138
aug-student-141-224-192-139 7200 IN A 141.224.192.139
aug-student-141-224-197-100 7200 IN A 141.224.197.100
urness-141-224-232-156 7200 IN A 141.224.232.156
aug-student-141-224-197-101 7200 IN A 141.224.197.101
aug-student-141-224-197-102 7200 IN A 141.224.197.102
aug-student-141-224-197-103 7200 IN A 141.224.197.103
oren-141-224-240-33 7200 IN A 141.224.240.33
aug-guest-141-224-219-236 7200 IN A 141.224.219.236
urness-141-224-232-160 7200 IN A 141.224.232.160
aug-student-141-224-197-104 7200 IN A 141.224.197.104
aug-student-141-224-197-105 7200 IN A 141.224.197.105
aug-student-141-224-197-106 7200 IN A 141.224.197.106
aug-guest-141-224-219-239 7200 IN A 141.224.219.239
urness-141-224-232-163 7200 IN A 141.224.232.163
aug-student-141-224-197-107 7200 IN A 141.224.197.107
aug-student-141-224-192-149 7200 IN A 141.224.192.149
smtpauth 7200 IN CNAME mail
