chaine3cafetrz 86400 IN A 192.168.24.52
tert-port-leblond-wifi 86400 IN A 192.168.36.129
pccam213-08 86400 IN A 192.168.10.88
port-christian 86400 IN A 195.221.189.103
pccam213-10 86400 IN A 192.168.10.90
port-vae-frois 86400 IN A 192.168.195.9
tert-pc-fdeg-02 86400 IN A 172.16.1.8
pc-senecaut 86400 IN A 192.168.2.33
pc017eistv2-01 86400 IN A 192.168.191.19
pc017eistv2-02 86400 IN A 192.168.191.22
pc017eistv2-03 86400 IN A 192.168.191.23
pc-amphi3 86400 IN A 192.168.8.149
pc310uistv0-08 86400 IN A 192.168.194.233
ap1130-pum-bu 86400 IN A 192.168.29.161
pc006tistv3-23-pxe 86400 IN A 192.168.17.33
portablegim1-wifi 86400 IN A 192.168.28.16
plutonium 86400 IN A 195.221.189.41
dde-astre 86400 IN A 192.168.1.99
pc310uistv0-10 86400 IN A 192.168.194.231
printer-fm 86400 IN A 195.221.189.34
ensi-lesbros 86400 IN A 192.168.19.60
pccam411-01 86400 IN A 192.168.10.52
pccam411-02 86400 IN A 192.168.10.53
mac-grichard 86400 IN A 192.168.194.129
pccam411-04 86400 IN A 192.168.10.55
pccam411-05 86400 IN A 192.168.10.56
pccam411-06 86400 IN A 192.168.10.57
pccam411-07 86400 IN A 192.168.10.58
pccam411-08 86400 IN A 192.168.10.59
pccam411-09 86400 IN A 192.168.10.60
pccam411-11 86400 IN A 192.168.10.62
pccam411-12 86400 IN A 192.168.10.63
port-vdelcroix-1-wifi 86400 IN A 192.168.36.167
impcontrech2 86400 IN A 192.168.195.18
ap1100-cambrai-bu 86400 IN A 192.168.29.64
pc-openvpn 86400 IN A 193.50.193.53
holmium 86400 IN A 195.221.189.175
sp-deneux-thesard 86400 IN A 192.168.2.114
