PCLAB 3600 IN A 202.194.64.19
math1 3600 IN A 202.194.70.179
cert 3600 IN CNAME webgate
xxgk 3600 IN CNAME virtualhost
zyxw 3600 IN A 124.133.254.37
C4006 3600 IN A 202.194.68.18
jsjy 3600 IN CNAME webgate
libSW 3600 IN A 202.194.73.60
dwgk 3600 IN CNAME virtualhost3
mfe 3600 IN CNAME virtualhost3
smtp 3600 IN A 124.133.254.38
kyc 3600 IN A 202.194.70.142
netacad 3600 IN CNAME virtualhost
MSE4 3600 IN A 202.194.74.4
MSE5 3600 IN A 202.194.74.5
MSE6 3600 IN A 202.194.74.6
yjsh 3600 IN CNAME webgate
cse 3600 IN CNAME webgate
libwx 3600 IN CNAME webgate
xtjx 3600 IN CNAME virtualhost3
sdmie 3600 IN A 202.194.64.6
MadLab 3600 IN A 202.194.68.4
soil 3600 IN CNAME webgate
mls 3600 IN A 60.216.104.25
zzzx 3600 IN CNAME virtualhost
chem 3600 IN CNAME webgate
lxy 3600 IN CNAME webgate
Journal 3600 IN A 202.194.73.143
mse 3600 IN CNAME webgate
ICEMAIN 3600 IN CNAME nic3000
epay 3600 IN CNAME webgate
axzx 3600 IN CNAME webgate
proxy-n01 3600 IN A 202.194.64.201
proxy-n02 3600 IN A 202.194.64.82
msu 3600 IN CNAME virtualhost
untc2007 3600 IN CNAME virtualhost
sdernet-gw 3600 IN A 202.194.99.226
3600 IN A 202.194.99.230
proxy-css1 3600 IN A 202.194.64.202
proxy-css2 3600 IN A 202.194.64.203
ns2 3600 IN A 202.194.68.5
ultra5 3600 IN CNAME ns2
am2011 3600 IN CNAME virtualhost
ciee 3600 IN CNAME virtualhost
cngradms 3600 IN A 124.133.254.24
dmd 3600 IN A 202.194.72.139
music 3600 IN CNAME webgate
pac 3600 IN A 202.194.70.65
gpskx 3600 IN CNAME virtualhost3
isers 3600 IN CNAME webgate
ubuntu 3600 IN CNAME virtualhost
nic03 3600 IN A 202.194.68.16
zcyl 3600 IN A 211.64.92.3
sunjc 3600 IN A 202.194.72.143
nicstaff 3600 IN A 202.194.68.50
jwgl 3600 IN CNAME webgate
SQ-Li 3600 IN A 202.194.74.107
CompLAB1 3600 IN A 202.194.75.1
phy 3600 IN CNAME webgate
CompLAB4 3600 IN A 202.194.75.4
CompLAB6 3600 IN A 202.194.75.6
jwjc 3600 IN CNAME virtualhost
pspa 3600 IN CNAME webgate
hongqi 3600 IN CNAME virtualhost
jxcg 3600 IN CNAME virtualhost
Oldstar 3600 IN A 202.194.75.200
jxdd 3600 IN CNAME webgate
sce-support 3600 IN A 211.144.146.61
przs 3600 IN CNAME webgate
sdpklfccm 3600 IN CNAME virtualhost
NMS-CW 3600 IN A 202.194.68.8
gradms 3600 IN A 124.133.254.24
ccfri 3600 IN CNAME virtualhost
sce-course 3600 IN A 211.144.146.61
jwpt 3600 IN CNAME webgate
kexie 3600 IN A 202.194.77.88
sdgxda 3600 IN CNAME virtualhost
xydw 3600 IN CNAME virtualhost
sqzx 3600 IN A 202.194.76.93
sdgradms 3600 IN A 124.133.254.24
