ynumis 86400 IN A 202.203.209.15
www.yurwxy 86400 IN A 202.203.208.28
www.yurwxy 86400 IN AAAA 2001:250:2800:2::28
www.eelab 86400 IN A 202.203.208.28
www.eelab 86400 IN AAAA 2001:250:2800:2::28
windowsupdate 86400 IN A 202.203.208.144
gsa 86400 IN CNAME ynu8
www.xsjzwh 86400 IN A 202.203.208.28
www.xsjzwh 86400 IN AAAA 2001:250:2800:2::28
www.yndxxbskb 86400 IN A 202.203.208.28
www.yndxxbskb 86400 IN AAAA 2001:250:2800:2::28
dx.jxcg 86400 IN CNAME ynu8
gbook.yklp 86400 IN CNAME ynu66
www.news 86400 IN CNAME ynu8
ynu10 86400 IN A 202.203.208.10
ynu11 86400 IN A 202.203.208.11
ynu12 86400 IN A 202.203.208.12
ynu13 86400 IN A 202.203.208.13
ynu14 86400 IN A 202.203.208.14
ynu16 86400 IN A 202.203.208.16
ynu17 86400 IN A 202.203.208.17
ynu20 86400 IN A 202.203.208.20
ynu21 86400 IN A 202.203.208.21
ynu22 86400 IN A 202.203.208.22
ynu23 86400 IN A 202.203.208.23
www.stuhome 86400 IN A 202.203.208.28
www.stuhome 86400 IN AAAA 2001:250:2800:2::28
ynu26 86400 IN A 202.203.208.26
ynu31 86400 IN A 202.203.208.31
www.dmtlab 86400 IN A 202.203.208.28
www.dmtlab 86400 IN AAAA 2001:250:2800:2::28
www.emba 86400 IN A 202.203.208.27
ynu35 86400 IN A 202.203.208.35
ynu36 86400 IN A 202.203.208.36
ynu40 86400 IN A 202.203.208.40
ynu42 86400 IN A 202.203.208.42
ynu43 86400 IN A 202.203.208.43
ynu45 86400 IN A 202.203.208.45
ynu46 86400 IN A 202.203.208.46
ynu47 86400 IN A 202.203.208.47
ynu48 86400 IN A 202.203.208.48
ynu49 86400 IN A 202.203.208.49
ynu54 86400 IN A 202.203.208.54
ynu55 86400 IN A 202.203.208.55
ynu56 86400 IN A 202.203.208.56
ynu57 86400 IN A 202.203.208.57
ynu58 86400 IN A 202.203.208.58
ynu60 86400 IN A 202.203.208.60
ynu61 86400 IN A 202.203.208.61
ynu62 86400 IN A 202.203.208.62
ynu63 86400 IN A 202.203.208.63
ynu64 86400 IN A 202.203.208.64
ynu65 86400 IN A 202.203.208.65
ynu68 86400 IN A 202.203.208.68
ynu69 86400 IN A 202.203.208.69
ynu71 86400 IN A 202.203.208.71
ynu72 86400 IN A 202.203.208.72
ynu73 86400 IN A 202.203.208.73
ynu74 86400 IN A 202.203.208.74
ynu75 86400 IN A 202.203.208.75
ynu76 86400 IN A 202.203.208.76
ynu77 86400 IN A 202.203.208.77
ynu78 86400 IN A 202.203.208.78
ynu79 86400 IN A 202.203.208.79
ynu81 86400 IN A 202.203.208.81
ynu82 86400 IN A 202.203.208.82
ynu85 86400 IN A 202.203.208.85
ynu86 86400 IN A 202.203.208.86
ynu87 86400 IN A 202.203.208.87
ynu88 86400 IN A 202.203.208.88
www.xnmzyj 86400 IN CNAME www.jdfa
ynu91 86400 IN A 202.203.208.91
ynu93 86400 IN A 202.203.208.93
ynu95 86400 IN A 202.203.208.95
ynu96 86400 IN A 202.203.208.96
ynu98 86400 IN A 202.203.208.98
ynu99 86400 IN A 202.203.208.99
www.medicine 86400 IN A 202.203.208.28
www.medicine 86400 IN AAAA 2001:250:2800:2::28
www.sei 86400 IN CNAME sei
www.sds 86400 IN A 202.203.208.28
www.sds 86400 IN AAAA 2001:250:2800:2::28
www.ynfls 86400 IN A 202.203.208.28
www.ynfls 86400 IN AAAA 2001:250:2800:2::28
www.poll 86400 IN CNAME ynu101
gjmy.col 86400 IN A 202.203.208.28
gjmy.col 86400 IN AAAA 2001:250:2800:2::28
ynu103 86400 IN A 202.203.208.103
www.rsc 86400 IN CNAME ynu8
hy.apps 86400 IN A 202.203.208.28
hy.apps 86400 IN AAAA 2001:250:2800:2::28
zwswx.col 86400 IN A 202.203.208.28
zwswx.col 86400 IN AAAA 2001:250:2800:2::28
www.xtgc 86400 IN A 202.203.208.28
www.xtgc 86400 IN AAAA 2001:250:2800:2::28
ynu110 86400 IN A 202.203.208.110
www.xbskb 86400 IN CNAME web37
www.dxkf 86400 IN A 202.203.208.44
www.sns 86400 IN CNAME web37
www.sofl 86400 IN A 202.203.208.28
www.sofl 86400 IN AAAA 2001:250:2800:2::28
www.yklp 86400 IN A 202.203.208.28
www.yklp 86400 IN AAAA 2001:250:2800:2::28
jwc 86400 IN CNAME ynu11
www.sto 86400 IN A 202.203.208.28
www.sto 86400 IN AAAA 2001:250:2800:2::28
ynu123 86400 IN A 202.203.208.123
www.stu 86400 IN CNAME www.ydyouth
cheia2015 86400 IN A 202.203.208.28
cheia2015 86400 IN AAAA 2001:250:2800:2::28
jxcg 86400 IN A 202.203.208.28
jxcg 86400 IN AAAA 2001:250:2800:2::28
www.chem 86400 IN A 202.203.208.28
www.chem 86400 IN AAAA 2001:250:2800:2::28
members.apps 86400 IN A 202.203.208.28
members.apps 86400 IN AAAA 2001:250:2800:2::28
www.dj 86400 IN A 202.203.208.28
www.dj 86400 IN AAAA 2001:250:2800:2::28
www.xxxdzz 86400 IN A 202.203.208.28
www.xxxdzz 86400 IN AAAA 2001:250:2800:2::28
www.xjxjy 86400 IN CNAME ynu8
www.sys 86400 IN A 202.203.34.18
www.et 86400 IN A 113.55.11.248
www.ic 86400 IN A 202.203.32.10
hxgc.col 86400 IN A 202.203.208.28
hxgc.col 86400 IN AAAA 2001:250:2800:2::28
www.flower 86400 IN CNAME www.jdfa
webmail 86400 IN A 202.203.208.32
webmail 86400 IN AAAA 2001:250:2800:2::32
www.scmgb 86400 IN A 202.203.208.28
www.scmgb 86400 IN AAAA 2001:250:2800:2::28
docker 86400 IN A 202.203.209.118
www.evolution 86400 IN CNAME www.ynusky
www.ms 86400 IN A 202.203.208.28
