@ 86400 IN SOA dns root 2015022501 28800 7200 604800 86400
@ 86400 IN NS dns
86400 IN NS nsa.ces.net.
@ 86400 IN MX 20 mx1
86400 IN MX 10 mx2
@ 86400 IN TXT "MS=ms49747165"
86400 IN TXT "z9XtVkk6F+RWhPP55j6EFwpBHxyulZw2e8ZC14ZeMYkpbSmi7ioQHTRsOlJdDxQdMJO9HtsUF3uPQIqG6vz/CQ=="
pc155-82 86400 IN A 78.128.155.82
pc159-117 86400 IN A 78.128.159.117
pc150-230 86400 IN A 78.128.150.230
pc150-14 86400 IN A 78.128.150.14
pc154-203 86400 IN A 78.128.154.203
fr 86400 IN CNAME cms-proxy
pc150-15 86400 IN A 78.128.150.15
pc150-16 86400 IN A 78.128.150.16
efle2011 86400 IN CNAME cms-proxy
ic 86400 IN CNAME webak2
pc150-17 86400 IN A 78.128.150.17
pc168-106 86400 IN A 195.113.168.106
pc158-204 86400 IN A 78.128.158.204
pc150-18 86400 IN A 78.128.150.18
pc149-210 86400 IN A 78.128.149.210
pc149-20 86400 IN A 78.128.149.20
slchpl 86400 IN CNAME webak2
pc150-21 86400 IN A 78.128.150.21
kf 86400 IN CNAME webak2
pc150-22 86400 IN A 78.128.150.22
pc149-23 86400 IN A 78.128.149.23
pc150-24 86400 IN A 78.128.150.24
posta 86400 IN A 195.113.124.161
fei 86400 IN CNAME cms-proxy
pc155-220 86400 IN A 78.128.155.220
pc150-25 86400 IN A 78.128.150.25
pc168-127 86400 IN A 195.113.168.127
pc150-26 86400 IN A 78.128.150.26
fes 86400 IN CNAME webak2
pc157-150 86400 IN A 78.128.157.150
pc150-27 86400 IN A 78.128.150.27
pc155-121 86400 IN A 78.128.155.121
pc150-28 86400 IN A 78.128.150.28
pc149-30 86400 IN A 78.128.149.30
pc148-110 86400 IN A 78.128.148.110
pc150-31 86400 IN A 78.128.150.31
pc157-123 86400 IN A 78.128.157.123
pc168-128 86400 IN A 195.113.168.128
pc150-101 86400 IN A 78.128.150.101
pc150-32 86400 IN A 78.128.150.32
pc150-102 86400 IN A 78.128.150.102
pc150-33 86400 IN A 78.128.150.33
pc150-103 86400 IN A 78.128.150.103
pc159-2 86400 IN A 78.128.159.2
pc150-140 86400 IN A 78.128.150.140
pc154-45 86400 IN A 78.128.154.45
pc150-104 86400 IN A 78.128.150.104
pc150-35 86400 IN A 78.128.150.35
pc150-105 86400 IN A 78.128.150.105
pc150-36 86400 IN A 78.128.150.36
pc168-130 86400 IN A 195.113.168.130
pc150-106 86400 IN A 78.128.150.106
pc150-37 86400 IN A 78.128.150.37
ue 86400 IN CNAME webak2
pc150-107 86400 IN A 78.128.150.107
pc150-38 86400 IN A 78.128.150.38
um 86400 IN CNAME webak2
pc150-108 86400 IN A 78.128.150.108
pc149-40 86400 IN A 78.128.149.40
pc154-46 86400 IN A 78.128.154.46
pc155-20 86400 IN A 78.128.155.20
pc149-110 86400 IN A 78.128.149.110
pc149-41 86400 IN A 78.128.149.41
pc150-111 86400 IN A 78.128.150.111
pc150-42 86400 IN A 78.128.150.42
pc152-24 86400 IN A 78.128.152.24
