www.inventariored 3600 IN CNAME acuario
tesisa 3600 IN A 200.21.83.104
Hmailhost 3600 IN CNAME atenea
admisiones 3600 IN A 190.90.112.86
desarrollo 3600 IN CNAME ceres
financiera 3600 IN CNAME icarus
www.contratacion 3600 IN CNAME acuario
www.pulsos 3600 IN CNAME pulsos
dotlrn-elane 3600 IN A 190.90.112.185
coloquiogeografia 3600 IN CNAME acuario
elcaucaencifras 3600 IN CNAME acuario
www.antropologia 3600 IN CNAME ceres
www.ieee 3600 IN CNAME acuario
www.caucanix 3600 IN CNAME acuario
www.egresadosfic 3600 IN CNAME acuario
atlas 3600 IN A 200.21.83.144
www.eafrocol 3600 IN CNAME acuario
www.senuma 3600 IN CNAME acuario
ramaieee 3600 IN CNAME atenea
criminalistica 3600 IN CNAME acuario
www.facultadsalud 3600 IN CNAME hades
asesoriajuridica 3600 IN CNAME acuario
smtp 3600 IN CNAME atenea
mercurio 3600 IN A 200.21.83.160
www.lbmpls 3600 IN CNAME acuario
periodico 3600 IN CNAME acuario
sepa 3600 IN CNAME acuario
www.teleagro 3600 IN CNAME acuario
antropologiamedica 3600 IN CNAME acuario
www.felaa 3600 IN CNAME acuario
mhn 3600 IN CNAME ceres
www.biblio 3600 IN CNAME biblio
www.catalisis 3600 IN CNAME acuario
chatirc.iered 3600 IN A 190.90.112.33
www.acreditadmon 3600 IN CNAME acuario
www.biologia 3600 IN CNAME purace
grugiqa 3600 IN CNAME acuario
smeagol.ssi 3600 IN A 190.90.112.196
siset 3600 IN A 190.90.112.32
www.cts 3600 IN CNAME spar
www.copernico 3600 IN CNAME copernico
www.vites 3600 IN CNAME acuario
rasta 3600 IN CNAME acuario
spar 3600 IN A 200.21.83.88
www.vultur 3600 IN CNAME acuario
eventos 3600 IN CNAME acuario
simep 3600 IN CNAME acuario
pijao 3600 IN A 200.21.83.103
labpazsur 3600 IN CNAME acuario
www.fayol 3600 IN CNAME atenea
ieee 3600 IN CNAME acuario
fisica 3600 IN CNAME acuario
www.uv 3600 IN CNAME hades
cytema 3600 IN CNAME atenea
eolo 3600 IN A 200.21.83.162
www.circe 3600 IN CNAME acuario
pegasus 3600 IN A 190.90.112.190
selket 3600 IN A 200.21.83.164
edumat 3600 IN CNAME acuario
exalumnos 3600 IN CNAME acuario
odin 3600 IN A 190.90.112.131
seminarioaut 3600 IN CNAME acuario
www.fibis 3600 IN CNAME acuario
sirio 3600 IN A 190.90.112.110
enlaceinformatico 3600 IN CNAME acuario
juno 3600 IN A 10.200.1.135
semfiet 3600 IN CNAME atenea
languages 3600 IN CNAME hades
www.rauc 3600 IN CNAME acuario
hercules 3600 IN CNAME hades
aulaweb 3600 IN CNAME acuario
gigec 3600 IN CNAME acuario
empleo 3600 IN A 200.21.83.159
acrefic 3600 IN CNAME atenea
www.simposiosig 3600 IN CNAME acuario
www.patologia 3600 IN CNAME acuario
www.cisco 3600 IN CNAME acuario
documentos 3600 IN CNAME atenea
www.informatica 3600 IN CNAME acuario
cursocti 3600 IN CNAME acuario
pfi 3600 IN CNAME hades
www.microscopia 3600 IN CNAME acuario
derecho 3600 IN A 190.90.112.172
artemiza 3600 IN A 190.90.112.166
argos 3600 IN A 200.30.71.35
thor 3600 IN A 200.21.83.225
www.congresomd 3600 IN CNAME acuario
pki 3600 IN CNAME acuario
gorgona 3600 IN A 190.90.112.85
pld 3600 IN CNAME acuario
www.cic2005 3600 IN CNAME acuario
cita2001 3600 IN CNAME acuario
ioptimizacion 3600 IN CNAME acuario
www.coloquiocomunicacion 3600 IN CNAME atenea
www.seminario_aut 3600 IN CNAME acuario
simposiosig 3600 IN CNAME acuario
colonias 3600 IN CNAME acuario
www.polinomia 3600 IN CNAME acuario
www.bienestar 3600 IN CNAME acuario
www.morfologia 3600 IN CNAME acuario
concierto 3600 IN A 190.90.112.40
#www.financiera 3600 IN CNAME acuario
pop 3600 IN CNAME atenea
