@ 8800 IN SOA ns01.minatec.inpg.fr. postmaster.minatec.inpg.fr. 2013121601 21600 3600 864000 8800
@ 8800 IN MX 5 smtp131.minatec.grenoble-inp.fr.
8800 IN MX 5 smtp132.minatec.grenoble-inp.fr.
segbpc129 8800 IN A 192.93.175.129
segbpc131 8800 IN A 192.93.175.131
zenon 8800 IN A 192.93.177.137
lplemo 8800 IN A 192.93.175.146
enserg1 8800 IN A 192.93.176.90
enserg2 8800 IN A 192.93.176.91
ours 8800 IN A 192.93.176.64
lplangues 8800 IN A 192.93.178.155
hegel 8800 IN A 192.93.179.67
lptp1a 8800 IN A 192.93.179.107
tperg179 8800 IN A 192.93.179.130
chene 8800 IN A 192.93.178.167
lpcsppp1 8800 IN A 192.93.177.194
lpcsppp2 8800 IN A 192.93.177.195
lpcsppp3 8800 IN A 192.93.177.196
lpcsppp4 8800 IN A 192.93.177.197
lpcsppp5 8800 IN A 192.93.177.198
lpcsppp6 8800 IN A 192.93.177.199
lpcsppp7 8800 IN A 192.93.177.200
lpcsppp8 8800 IN A 192.93.177.201
lpcsppp9 8800 IN A 192.93.177.202
vercors 8800 IN A 192.93.175.11
tp1apc1 8800 IN A 192.93.179.98
caract1 8800 IN A 192.93.177.161
caract2 8800 IN A 192.93.177.162
caract3 8800 IN A 192.93.177.163
caract4 8800 IN A 192.93.177.164
caract5 8800 IN A 192.93.177.173
caract6 8800 IN A 192.93.177.174
caract7 8800 IN A 192.93.177.175
caract8 8800 IN A 192.93.177.176
caract9 8800 IN A 192.93.177.177
tp1apc3 8800 IN A 192.93.179.100
ensergx 8800 IN CNAME enserg
tp1apc4 8800 IN A 192.93.179.101
dhcp178110 8800 IN A 192.93.178.110
csw179-1 8800 IN A 192.93.179.136
backbone178 8800 IN A 192.93.178.31
txconsol 8800 IN A 192.93.178.171
lpcs01 8800 IN A 192.93.177.130
lpcs02 8800 IN A 192.93.177.131
lpcs03 8800 IN A 192.93.177.132
lpcs04 8800 IN A 192.93.177.141
lpcs05 8800 IN A 192.93.177.146
lpcs06 8800 IN A 192.93.177.147
carre 8800 IN A 192.93.178.187
goulag 8800 IN A 192.93.178.70
nomade1 8800 IN A 192.93.178.65
nomade2 8800 IN A 192.93.178.66
cocotier 8800 IN A 192.93.178.174
dhcp178119 8800 IN A 192.93.178.119
dhcp178121 8800 IN A 192.93.178.121
mout 8800 IN A 192.93.179.168
horus 8800 IN A 192.93.179.162
