@ 86400 IN SOA barsac inetadm 2015041420 28800 14400 1209600 86400
@ 86400 IN MX 10 sauternes
@ 86400 IN NS bxnms.u-bordeaux.fr.
cdi17-ps 86400 IN A 194.199.250.224
p12eco-ps 86400 IN A 194.199.249.139
dhcp-c130 86400 IN A 194.199.251.130
kl-nb 86400 IN A 194.199.251.206
mh-ps 86400 IN A 194.199.250.121
naker-ps 86400 IN A 194.199.250.248
agrotic3-ps 86400 IN A 194.199.250.87
stveg1-ps 86400 IN A 194.199.249.236
microbio10-ps 86400 IN A 194.199.249.188
ats1-ps 86400 IN A 194.199.250.206
dpa3a8-ps 86400 IN A 194.199.250.233
aug-lt 86400 IN A 194.199.249.152
p10eco-ps 86400 IN A 194.199.249.109
fc3-ps 86400 IN A 194.199.249.129
esuptest 86400 IN A 194.199.251.207
sm01-ps 86400 IN A 194.199.250.66
epicure-db-srv 86400 IN A 194.199.250.251
gaia-printer 86400 IN A 194.199.250.247
satanas-gateway-250 86400 IN A 194.199.250.200
dhcp-c139 86400 IN A 194.199.251.139
ammo-ps 86400 IN A 194.199.250.240
webcarto 86400 IN A 194.199.249.111
equitrac 86400 IN A 194.199.251.205
ntn-ps 86400 IN A 194.199.249.58
p05-s5-ps 86400 IN A 194.199.250.40
cl-ps 86400 IN A 194.199.250.129
aset 86400 IN A 194.199.249.99
dhcp-c60 86400 IN A 194.199.251.60
p12-pom2-ps 86400 IN A 194.199.250.63
giaf9-ps 86400 IN A 194.199.249.233
esxi-dp 86400 IN A 194.199.249.35
secondvm-external 86400 IN A 194.199.249.44
dbou-ps 86400 IN A 194.199.250.141
eval 86400 IN CNAME www-iis
p03-s5-ps 86400 IN A 194.199.249.219
sauternes 86400 IN A 194.199.249.34
dhcp-c149 86400 IN A 194.199.251.149
isf-bordeaux 86400 IN CNAME www-iis
xli-ps 86400 IN A 194.199.249.66
ftp 86400 IN CNAME www-ftp-server
cdi5-ps 86400 IN A 194.199.250.147
gdtr4-ps 86400 IN A 194.199.249.245
localhost 86400 IN A 127.0.0.1
alix-bern-ps 86400 IN A 194.199.249.174
vhouvert-ps 86400 IN A 194.199.250.99
p01-s5-ps 86400 IN A 194.199.249.217
fc8-ps 86400 IN A 194.199.249.134
aa-ps 86400 IN A 194.199.250.103
cdi21-ps 86400 IN A 194.199.251.233
commba 86400 IN A 194.199.251.204
mk-ps 86400 IN A 194.199.250.24
followme 86400 IN A 194.199.249.74
agrotic6-ps 86400 IN A 194.199.250.90
cript1-ps 86400 IN A 194.199.250.105
loupiac 86400 IN A 194.199.251.236
dhcp-c160 86400 IN A 194.199.251.160
cdo-ps 86400 IN A 194.199.250.221
fc6-ps 86400 IN A 194.199.249.132
sm08-ps 86400 IN A 194.199.250.73
grr 86400 IN A 194.199.249.123
viti3-ps 86400 IN A 194.199.250.98
gicegere 86400 IN A 194.199.249.11
inet-server 86400 IN CNAME www-ftp-server
medoc 86400 IN A 194.199.250.249
diodon 86400 IN CNAME pedago-server
lame6-srv 86400 IN A 194.199.249.22
sm18-ps 86400 IN A 194.199.250.83
xylofutur9 86400 IN A 194.199.251.229
p00-pom2-ps 86400 IN A 194.199.250.51
pf-ps 86400 IN A 194.199.250.202
sm02-ps 86400 IN A 194.199.250.67
jmfr-ps 86400 IN A 194.199.250.211
dhcp-c169 86400 IN A 194.199.251.169
idp 86400 IN A 194.199.249.252
p03-s27-ps 86400 IN A 194.199.249.196
cbe-ps 86400 IN A 194.199.250.162
microbio6-ps 86400 IN A 194.199.249.177
esxi-vc 86400 IN A 194.199.249.10
www-ftp-server 86400 IN A 194.199.249.38
suividiff 86400 IN A 194.199.249.75
dhcp-c174 86400 IN A 194.199.251.174
x0-ps 86400 IN A 194.199.250.102
stveg4-ps 86400 IN A 194.199.249.239
pa-ps 86400 IN A 194.199.250.246
microbio1-ps 86400 IN A 194.199.250.201
esxi-vr 86400 IN A 194.199.249.37
p18-pom1-ps 86400 IN A 194.199.249.211
glpi-srv 86400 IN A 194.199.249.28
net-thib-germ-printer 86400 IN A 194.199.249.79
cdi8-ps 86400 IN A 194.199.250.250
agrotic12-ps 86400 IN A 194.199.250.21
gicogere 86400 IN A 194.199.249.87
cdr-nb 86400 IN A 194.199.249.76
pomerol-magicinfo 86400 IN A 194.199.251.214
dhcp-c180 86400 IN A 194.199.251.180
ad-ps 86400 IN A 194.199.249.56
bg-ps 86400 IN A 194.199.250.191
giaf3-ps 86400 IN A 194.199.249.227
giafa 86400 IN A 194.199.249.24
imc 86400 IN A 194.199.249.212
agrotic9-ps 86400 IN A 194.199.250.93
stveg2-ps 86400 IN A 194.199.249.237
giasnbp 86400 IN A 194.199.249.80
p17-pom2-ps 86400 IN A 194.199.250.46
fc9-ps 86400 IN A 194.199.249.135
nas-tazia 86400 IN A 194.199.249.77
dhcp-c189 86400 IN A 194.199.251.189
gg-ps2 86400 IN A 194.199.249.47
www-iis 86400 IN A 194.199.249.32
merlot 86400 IN A 194.199.249.25
cdi10-ps 86400 IN A 194.199.250.173
cc-nb 86400 IN A 194.199.251.237
dpa3a12-ps 86400 IN A 194.199.250.237
dhcp-c69 86400 IN A 194.199.251.69
jm-ps 86400 IN A 194.199.250.123
qualite4-ps 86400 IN A 194.199.249.159
p06-s4-ps 86400 IN A 194.199.249.207
mvh-ps 86400 IN A 194.199.250.120
catc-ps 86400 IN A 194.199.249.94
ecole 86400 IN CNAME www-iis
jcba-ps 86400 IN A 194.199.249.91
cc-ps 86400 IN A 194.199.250.100
www 86400 IN CNAME www-enitab
p04-s4-ps 86400 IN A 194.199.249.205
microbio4-ps 86400 IN A 194.199.249.175
esxi1 86400 IN A 194.199.249.14
esxi2 86400 IN A 194.199.249.15
esxi3 86400 IN A 194.199.249.16
giaf1-ps 86400 IN A 194.199.249.225
res-ps 86400 IN A 194.199.249.52
lame5-srv 86400 IN A 194.199.249.21
gdtr5-ps 86400 IN A 194.199.249.246
agrotic15-ps 86400 IN A 194.199.250.33
p02-s4-ps 86400 IN A 194.199.249.203
xylofutur0 86400 IN A 194.199.251.220
xylofutur1 86400 IN A 194.199.251.221
civbtest 86400 IN A 194.199.249.156
xylofutur3 86400 IN A 194.199.251.223
xylofutur4 86400 IN A 194.199.251.224
xylofutur5 86400 IN A 194.199.251.225
pedago 86400 IN A 194.199.249.6
xylofutur7 86400 IN A 194.199.251.227
xylofutur8 86400 IN A 194.199.251.228
agrotic-projet1 86400 IN A 194.199.250.37
agrotic-projet2 86400 IN A 194.199.250.36
civb-saq-ps 86400 IN A 194.199.249.221
pv3-ps 86400 IN A 194.199.250.166
www-ctifl 86400 IN CNAME www-iis
spe-ps 86400 IN A 194.199.249.97
p00-s4-ps 86400 IN A 194.199.249.201
mca-ps 86400 IN A 194.199.249.125
cdi12-ps 86400 IN A 194.199.250.180
dpi-ps 86400 IN A 194.199.250.137
sm10-ps 86400 IN A 194.199.250.75
mc-ps 86400 IN A 194.199.250.117
www-enitab 86400 IN A 194.199.249.36
p09-pom2-ps 86400 IN A 194.199.250.60
dpa3a3-ps 86400 IN A 194.199.250.228
gea5-ps 86400 IN A 194.199.250.217
fc12-ps 86400 IN A 194.199.249.138
jp-ps 86400 IN A 194.199.250.153
microbio11-ps 86400 IN A 194.199.249.189
p9eco-ps 86400 IN A 194.199.249.108
p01-s27-ps 86400 IN A 194.199.249.194
gea2-ps 86400 IN A 194.199.250.214
p4-s11-ps 86400 IN A 194.199.250.30
jfl-ps 86400 IN A 194.199.250.177
sfe-ps 86400 IN A 194.199.250.127
thnes-ps 86400 IN A 194.199.249.180
